pair,mech,recent_default,hist_default,recent_step5,hist_step5,recent_step15,hist_step15,recent_bd20_80,hist_bd20_80,recent_bd35_65,hist_bd35_65,recent_static,hist_static
sp500-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,A,1.166571095096303,0.3152523243519935,1.1304699157188742,0.3209839926573874,1.1834903442713907,0.3599481920085201,1.1452356108973285,0.2531509449370734,1.1848756186611349,0.4029688901844384,1.2956837539833825,0.4233220825066705
sp500-12m/same_sector_slide1m_bd7 + sp500-12m/cross_sector_slide1m_noscreen,B,1.1237744838628478,0.28165262821006265,1.0724968770739292,0.2667292277254957,1.1491361195744096,0.326174945797273,1.1058109870367678,0.2250865240970961,1.1327003121046442,0.3607881230653822,1.152656017586308,0.3655191480730313
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,A,1.0625028089580446,0.5764584913549876,1.127249424970813,0.4492872068408419,1.0915662473479644,0.6972558518653935,1.01993769862135,0.5586848256266592,1.1852538792612122,0.6382216560753902,1.5935517207794208,0.4592060326779495
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,B,1.0437694102738013,0.5291739512848873,1.089912712757545,0.40092726180496246,1.0832722150817453,0.6529094742090376,1.006817703760983,0.5091520609739882,1.1562169112345266,0.5965203441172503,1.5046952825752486,0.4219734092759979
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide3m_bd7,A,1.0663107871413353,0.45525522435390114,1.1251355479740874,0.3425085247412106,1.1150114642848417,0.4942245640154011,1.1090449998045926,0.41137253164565807,1.0921048903752328,0.5073133087449072,1.5784382214973876,0.48793795593126943
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide3m_bd7,B,1.0629764365926793,0.4372083569868141,1.1193566488148308,0.3232177379066733,1.110640990730632,0.4793866075531686,1.1035647845956342,0.39023984011541857,1.0902235890222562,0.49578902643420386,1.5616165308162748,0.48181515968008864
sp500-2m/cross_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,A,0.9068027821670772,0.6682728792055483,0.8413032329575741,0.7201557020461538,0.8990931854418446,0.6234990121854879,0.870126495503355,0.6878218992037903,0.9313510478765032,0.6616001018540699,1.3293078145608865,0.6803095641974467
sp500-2m/cross_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,B,0.9043467110757245,0.6454460008693297,0.8247855932754357,0.692621569648689,0.9023113804310285,0.5928707414873431,0.8726994255941135,0.6682248501578874,0.9128254192887716,0.6333751616224559,1.2084785602398938,0.6723557998590648
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,A,1.0818156421112188,0.42055396041544185,1.060562094457872,0.25063393259244937,1.1052619541590416,0.48593316792922336,1.060596737369083,0.3431069387733855,1.0998662836780806,0.4462806970273469,1.4583637812007206,0.387329363350056
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,B,1.0508653254373972,0.4086953204003144,1.0173706194507535,0.23085826797581213,1.0812464481221595,0.476644009820703,1.035346370670007,0.33368808802528643,1.0556503528298267,0.4298367497289893,1.2668659872841994,0.34058424546001115
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,A,1.1372859567050235,0.5573072343858518,1.1556517965306146,0.48847391191183065,1.1070339445440769,0.5572628375884247,1.1487440686584078,0.5786815770553816,1.1073012643389137,0.47934166695881175,1.3615956463222527,0.36747123544917437
sp500-12m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,B,1.08057525057879,0.5976371199061475,1.1034535342664042,0.530743451473938,1.0466329191226806,0.5950080348341272,1.090554264228617,0.6227489414992265,1.0539740431487703,0.5119222667847745,1.2651879661679148,0.38893506310165216
