fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,-0.17286816117796153,12,20
1,2015-04-01,2015-06-30,0.11921655687884898,14,20
2,2015-07-01,2015-09-30,-0.07295197828862643,17,20
3,2015-10-01,2015-12-31,0.14098605662079042,10,20
4,2016-01-01,2016-03-31,-0.43105391931681125,14,20
5,2016-04-01,2016-06-30,0.04742367832726177,18,20
6,2016-07-01,2016-09-30,-0.10035204135540135,10,20
7,2016-10-01,2016-12-31,-0.1317037675445195,13,20
8,2017-01-01,2017-03-31,-0.04155843220218677,16,20
9,2017-04-01,2017-06-30,0.10464987285744219,7,20
10,2017-07-01,2017-09-30,-0.11453011882684702,14,20
11,2017-10-01,2017-12-31,0.21483296016026274,13,20
12,2018-01-01,2018-03-31,0.11218887893242847,10,20
13,2018-04-01,2018-06-30,0.0204297289083073,9,20
14,2018-07-01,2018-09-30,0.0974339857566216,16,20
15,2018-10-01,2018-12-31,-0.01746280312833151,8,20
16,2019-01-01,2019-03-31,-0.05607976466087722,14,20
17,2019-04-01,2019-06-30,0.00679742260835853,16,20
18,2019-07-01,2019-09-30,0.04970258869102736,13,20
19,2019-10-01,2019-12-31,-0.049881101761221916,7,20
