fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,-0.013417143537895238,32,20
1,2015-04-01,2015-06-30,-0.12205728433089305,13,20
2,2015-07-01,2015-09-30,0.2628867879032014,21,20
3,2015-10-01,2015-12-31,0.06792423784892644,21,20
4,2016-01-01,2016-03-31,0.04215247913486402,34,20
5,2016-04-01,2016-06-30,0.1265278482480745,37,20
6,2016-07-01,2016-09-30,0.05857337619466255,35,20
7,2016-10-01,2016-12-31,0.08448400190319037,24,20
8,2017-01-01,2017-03-31,-0.005364044870891737,18,20
9,2017-04-01,2017-06-30,-0.048143071844680495,31,20
10,2017-07-01,2017-09-30,0.04235680170852839,21,20
11,2017-10-01,2017-12-31,-0.17315314180197316,17,20
12,2018-01-01,2018-03-31,-0.0489421972706683,20,20
13,2018-04-01,2018-06-30,0.04052826916083694,23,20
14,2018-07-01,2018-09-30,-0.008417722056052039,37,20
15,2018-10-01,2018-12-31,-0.04768444415601088,32,20
16,2019-01-01,2019-03-31,0.10100756215907462,32,20
17,2019-04-01,2019-06-30,0.0929226690463785,27,20
18,2019-07-01,2019-09-30,-0.18965796464447554,25,20
19,2019-10-01,2019-12-31,0.11618539802531576,25,20
