A,B,mech,recent_sh,recent_ret,recent_vol,recent_mdd,hist_sh,hist_ret,hist_vol,hist_mdd,joined_sh,joined_ret,rejected_entries,score,recent_rank,hist_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide3m_bd7,A,0.43260838021478754,0.061831005581355215,0.12960640921332905,-0.17196485378382212,-0.9583444635648527,-0.07502071298362345,0.0781575331227447,-0.2879541254048448,-0.4192988900937798,-0.04202106402119703,0,-0.9583444635648527,313,487,400.0,487,442,481
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide1m_noscreen,A,0.6083512355270806,0.06150462779975909,0.10704321891007006,-0.119467479862014,-0.420876630050254,-0.03564661563120486,0.07882905068347425,-0.27240101777034875,-0.0793290577103043,-0.010648950864230233,0,-0.420876630050254,226,412,319.0,400,360,354
core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide1m_bd7,A,0.31353973380344885,0.0297876188443845,0.10449813462562856,-0.14709537439420894,-0.6934369077039986,-0.04893446863874018,0.06890268654539988,-0.2637235842383612,-0.3313295273575707,-0.02901691697792761,0,-0.6934369077039986,367,464,415.5,461,461,459
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_noscreen,A,0.5279858547597066,0.08515799777127593,0.15062469200479925,-0.16743333802626326,-0.5458868913011131,-0.1508830815006319,0.23060925979832883,-0.5456352768110777,-0.32522377964934857,-0.09437804907893114,0,-0.5458868913011131,270,439,354.5,434,405,457
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_bd7,A,0.2727345801340358,0.04259192822798903,0.1334877955403783,-0.1579066124195016,-0.5151865006781011,-0.14377050869472086,0.22835021587824803,-0.5128428888640884,-0.3634022014506419,-0.09948805898119537,0,-0.5151865006781011,383,436,409.5,428,454,468
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_noscreen,A,0.8341183094544782,0.10070597516864552,0.11756545528879858,-0.12323835803664482,-0.6550611537382803,-0.04852390452414479,0.0719585703514415,-0.24684846975685104,-0.09252520268643195,-0.011154958479011,0,-0.6550611537382803,135,460,297.5,457,330,360
core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_bd7,A,0.07569312072306787,0.015526442665660523,0.11361023957585852,-0.15618752450004256,-0.3877385803656652,-0.030537334019128837,0.07296756353424089,-0.16458652683437447,-0.20038620384426523,-0.019094600077571376,0,-0.3877385803656652,439,399,419.0,387,466,417
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_noscreen,A,0.4787453447791213,0.055568364530800496,0.1173240568730719,-0.1447128927635126,-0.3442736973308258,-0.035870881736196125,0.09342559033673727,-0.2868890060419489,-0.0836300322243923,-0.012884665612821667,0,-0.3442736973308258,296,379,337.5,367,388,356
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_bd7,A,0.2306004062687605,0.03595687504837068,0.10630678562506374,-0.14772853836017022,-0.1788251546245242,-0.015739976494183128,0.07358619573331054,-0.18425359471642233,-0.025169096043630188,-0.003867313399009964,0,-0.1788251546245242,399,303,351.0,290,398,335
core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_noscreen,A,0.39931260279014547,0.05131372012524169,0.11715399764357465,-0.17289091090904493,-0.057691373752138966,-0.00662099931563831,0.07111385355877814,-0.20994182729098565,0.11878708887946575,0.007635112930738619,0,-0.057691373752138966,329,261,295.0,244,324,266
