window,mechanism,n_starts,ann_ret,ann_vol,sharpe,mdd,rejected_entries
historical,A,1,0.09098047531941122,0.08046115027337992,1.1222203409030458,-0.08952974140493075,0
historical,B,1,0.08831583709730029,0.08010529325813628,1.0962936288662382,-0.08866595043142156,0
recent,A,5,0.09446193015371311,0.08603093314998785,1.0936916085691977,-0.055413415552036896,0
recent,B,5,0.0981161574139433,0.08525146343180103,1.1412630170346794,-0.055496017275742514,0
