date,pnl,total_capital,daily_return
2024-02-01,0.0,1000000.0,0.0
2024-02-02,-1576.2438049315986,1000000.0,-0.0015762438049315985
2024-02-05,19846.004268646255,998423.7561950684,0.01987733579605333
2024-02-06,-1513.6497611999223,1018269.7604637146,-0.0014864919100716634
2024-02-07,-7695.819923400369,1016756.1107025146,-0.007568993038146621
2024-02-08,-14127.490032196065,1009060.2907791142,-0.014000640161241472
2024-02-09,7552.69916534387,994932.8007469182,0.007591165111527021
2024-02-12,12845.68177795429,1002485.4999122621,0.012813832997164099
2024-02-13,-12126.612171173087,1015331.1816902164,-0.011943504139197203
2024-02-14,4069.549793243406,1003204.5695190433,0.004056550295812977
2024-02-15,4036.780479431223,1007274.1193122867,0.0040076285114794
2024-02-16,188.69670104979127,1011310.899791718,0.00018658624275547098
2024-02-20,19525.3043365478,1011499.5964927678,0.019303323900720315
2024-02-21,930.0266532897784,1031024.9008293157,0.0009020409231064175
2024-02-22,-4896.178836822467,1031954.9274826054,-0.004744566556570851
2024-02-23,-842.5614891052402,1027058.7486457829,-0.0008203634799043291
2024-02-26,-16074.218647003148,1026216.1871566777,-0.015663579320006393
2024-02-27,2682.6303062440434,1010141.9685096745,0.0026556963178174797
2024-02-28,-99.14606094361947,1012824.5988159186,-9.789065259624419e-05
2024-02-29,-6938.537239074709,1012725.452754975,-0.0068513506994412054
2024-03-01,750.1949615478768,1005786.9155159002,0.0007458786249601168
2024-03-04,-4907.495117187495,1006537.1104774481,-0.0048756226333867
2024-03-05,-3116.972404480014,1001629.6153602606,-0.003111901202480838
2024-03-06,-2839.7041015624677,998512.6429557806,-0.0028439340469004204
2024-03-07,-2565.7022857665615,995672.9388542181,-0.0025768524840286133
2024-03-08,-2914.0093460083003,993107.2365684515,-0.0029342343290914563
2024-03-11,2195.341812133853,990193.2272224432,0.00221708425363798
2024-03-12,-267.588310241704,992388.5690345771,-0.00026964066152235233
2024-03-13,0.0,992120.9807243354,0.0
2024-03-14,-213.9104156495522,992120.9807243354,-0.00021560920472962763
2024-03-15,-4466.150192260726,991907.0703086859,-0.004502589331146556
2024-03-18,1103.769485473598,987440.9201164251,0.0011178081270355467
2024-03-19,-2522.8058471680033,988544.6896018988,-0.0025520402605004877
2024-03-20,-1191.2683410644356,986021.8837547308,-0.0012081560872950758
