date,pnl,total_capital,daily_return
2015-01-02,0.0,1000000.0,0.0
2015-01-05,0.0,1000000.0,0.0
2015-01-06,0.0,1000000.0,0.0
2015-01-07,0.0,1000000.0,0.0
2015-01-08,0.0,1000000.0,0.0
2015-01-09,0.0,1000000.0,0.0
2015-01-12,0.0,1000000.0,0.0
2015-01-13,0.0,1000000.0,0.0
2015-01-14,0.0,1000000.0,0.0
2015-01-15,0.0,1000000.0,0.0
2015-01-16,0.0,1000000.0,0.0
2015-01-20,0.0,1000000.0,0.0
2015-01-21,0.0,1000000.0,0.0
2015-01-22,0.0,1000000.0,0.0
2015-01-23,0.0,1000000.0,0.0
2015-01-26,0.0,1000000.0,0.0
2015-01-27,0.0,1000000.0,0.0
2015-01-28,0.0,1000000.0,0.0
2015-01-29,0.0,1000000.0,0.0
2015-01-30,0.0,1000000.0,0.0
2015-02-02,0.0,1000000.0,0.0
2015-02-03,0.0,1000000.0,0.0
2015-02-04,0.0,1000000.0,0.0
2015-02-05,0.0,1000000.0,0.0
2015-02-06,0.0,1000000.0,0.0
2015-02-09,0.0,1000000.0,0.0
2015-02-10,0.0,1000000.0,0.0
2015-02-11,0.0,1000000.0,0.0
2015-02-12,0.0,1000000.0,0.0
2015-02-13,0.0,1000000.0,0.0
2015-02-17,0.0,1000000.0,0.0
2015-02-18,730.1286163328147,1000000.0,0.0007301286163328147
2015-02-19,595.4863510130825,1000730.1286163328,0.0005950518866024712
2015-02-20,1032.7577056884068,1001325.6149673458,0.0010313904790322237
2015-02-23,-2944.6974563598797,1002358.3726730342,-0.002937769101990062
2015-02-24,-3058.6516990662576,999413.6752166743,-0.0030604461144712047
2015-02-25,3866.5279235839857,996355.0235176081,0.0038806728849856142
2015-02-26,-2755.1009712218697,1000221.551441192,-0.0027544907098353555
2015-02-27,346.49946975706365,997466.4504699701,0.00034737957311126166
2015-03-02,723.1393623352968,997812.9499397272,0.0007247243708141671
2015-03-03,-1540.7273292541845,998536.0893020625,-0.001542986123146628
2015-03-04,159.23730087291182,996995.3619728084,0.00015971719322527278
2015-03-05,-2325.7153091430564,997154.5992736813,-0.0023323517846050024
2015-03-06,-9736.65895462039,994828.8839645382,-0.009787270063790654
2015-03-09,1994.1320266725265,985092.2250099179,0.0020243099844305945
2015-03-10,909.8566894530702,987086.3570365903,0.000921759968585345
2015-03-11,2165.7362823489716,987996.2137260435,0.0021920491721130198
2015-03-12,6602.496368408253,990161.9500083925,0.006668097444415322
2015-03-13,-577.5283508302423,996764.4463768007,-0.0005794030404370211
2015-03-16,2542.9213104247037,996186.9180259705,0.0025526547923995224
2015-03-17,-5.692138671889368,998729.8393363951,-5.699377797374616e-06
2015-03-18,0.0,998724.1471977233,0.0
2015-03-19,-2214.237327575659,998724.1471977233,-0.0022170659774157775
2015-03-20,-14219.672935485807,996509.9098701476,-0.01426947468825346
2015-03-23,0.0,982290.2369346617,0.0
2015-03-24,0.0,982290.2369346617,0.0
2015-03-25,0.0,982290.2369346617,0.0
2015-03-26,0.0,982290.2369346617,0.0
2015-03-27,0.0,982290.2369346617,0.0
2015-03-30,0.0,982290.2369346617,0.0
2015-03-31,0.0,982290.2369346617,0.0
2015-04-01,0.0,1000000.0,0.0
2015-04-02,0.0,1000000.0,0.0
2015-04-06,0.0,1000000.0,0.0
2015-04-07,0.0,1000000.0,0.0
2015-04-08,0.0,1000000.0,0.0
2015-04-09,0.0,1000000.0,0.0
2015-04-10,-1680.7143968343707,1000000.0,-0.0016807143968343707
