trade_id,pair,sector,entry_date,exit_date,holding_days,exit_reason,hr_entry,anchor_hr,entry_drift,trade_return,trade_pnl,is_win,entry_score,entry_phi,entry_z,mae,mfe,fold_id
2,LLY-MRK,Healthcare,2024-01-02,2024-01-04,2,guard_trip,-0.1739927190447661,-0.48978107083246414,0.6447540964597986,-0.03972840118408203,-7151.112213134766,False,1.0446541275402954,0.891923340075114,2.398558273966104,4.200705901881786,2.398558273966104,0
3,BAC-PYPL,Financials,2024-01-03,2024-01-08,5,signal,0.43556580715546733,0.6702436090172847,0.3501380672706502,0.04469327290852865,8044.789123535156,True,0.7522510336429826,0.9328723634023935,-2.5630212531305014,-2.914453496688499,-0.23138651273777822,0
1,LLY-TMO,Healthcare,2024-01-02,2024-01-10,8,guard_trip,-0.6216858672191723,-1.0672656758945394,0.417496616577592,-0.03942258707682292,-7096.065673828125,False,0.42238373891712805,0.9583164856317816,2.202763909081181,4.236363622942112,2.0768896388658287,0
4,BAC-PYPL,Financials,2024-01-19,2024-01-24,5,signal,0.4077970823301681,0.6702436090172847,0.39156886116663964,0.05182997313605414,9329.395164489746,True,1.1098757542522295,0.8803492771144092,2.355324194360881,2.355324194360881,0.8838305085464639,0
6,BAC-PYPL,Financials,2024-02-08,2024-02-12,4,signal,0.49555748601031246,0.6702436090172847,0.2606307925309398,0.06305986821916368,11350.776279449463,True,1.787960622003077,0.7894330104040264,-2.5785526124564875,-2.5785526124564875,-0.9143278321981402,0
5,HD-SBUX,Discretionary,2024-02-06,2024-02-15,9,signal,-0.07164873769293778,-0.35806274060065557,0.7998989295207148,0.018845352511935764,3392.1634521484375,True,0.594681987519382,0.9403712471085417,2.247088317309429,4.200298246499953,0.7195113206716536,0
1,EOG-SLB,Energy,2024-04-02,2024-04-08,6,stop_loss,0.9117826038348142,1.0303609472363942,0.1150842757769765,-0.03382101084391276,-6087.781951904297,False,1.8141919173587888,0.75826313586559,-2.4210804545105717,-4.8902425632773605,-2.4210804545105717,1
2,META-TMUS,CommServices,2024-04-18,2024-04-19,1,stop_loss,0.05120788886185734,0.06235992255243428,0.1788333473506151,-0.0112005615234375,-2016.10107421875,False,1.0598524906609168,0.8885969169231178,2.376447705653227,6.164890126870977,2.376447705653227,1
3,META-NFLX,CommServices,2024-04-19,2024-04-25,6,signal,0.656756618581631,0.6655274698349523,0.013178796745228791,0.07109654473198784,12797.378051757812,True,1.9627756811419392,0.7666015746916874,-2.669562912869602,-3.3671880124079894,0.43775388271031035,1
4,AMZN-SBUX,Discretionary,2024-05-01,2024-05-15,14,guard_trip,-0.24640944311607643,-0.3171535912098875,0.22305958391936875,0.026635984293619793,4794.4771728515625,True,1.0962768832602614,0.9062288582820148,-2.8197043872945273,-3.0750412479712406,-2.1760204784266746,1
6,EOG-SLB,Energy,2024-05-22,2024-05-29,7,guard_trip,0.22584021432287132,1.0303609472363942,0.7808144661066457,-0.010780094782511393,-1940.4170608520508,False,0.45484110121243326,0.962775396629661,-2.6325999266435374,-3.6612852939853266,-2.494953037573235,1
5,META-NFLX,CommServices,2024-05-20,2024-06-07,18,signal,0.6470201943339116,0.6655274698349523,0.027808432168292645,0.032516909790039066,5853.043762207031,True,1.7869218421586368,0.7799191788311521,2.5117250282790953,3.7279319940012385,0.6904275860573413,1
1,COP-PSX,Energy,2024-07-09,2024-07-12,3,signal,0.9028923711448922,0.5221213417669155,0.7292768920140403,0.028054417249891495,5049.795104980469,True,0.6670681170834608,0.9314593105720087,-2.2322193680063562,-2.467821662784037,0.7982708415026174,2
2,UNP-UPS,Industrials,2024-07-12,2024-07-15,3,signal,1.0821392604983218,1.0118853194810402,0.0694287580467244,0.014539681243896485,2617.142623901367,True,2.2769116678175023,0.5619340749424584,2.4120614029747123,2.4120614029747123,0.9427313195490279,2
3,UNP-UPS,Industrials,2024-07-23,2024-08-07,15,max_exit_on_loss,1.1047503487602828,1.0118853194810402,0.09177426284519051,-0.022045869615342883,-3968.2565307617188,False,2.541293330752738,0.5659526511015256,-2.6979444478523926,-3.2350356995392935,-2.3034428231164017,2
4,COP-PSX,Energy,2024-08-20,2024-08-30,10,signal,0.714614674912109,0.5221213417669155,0.3686754739688959,0.03431709026760525,6177.076248168945,True,1.7384913256943622,0.7820645500222069,-2.4574354075404883,-2.6799062925905592,0.4588502578858232,2
5,COP-PSX,Energy,2024-09-25,2024-09-26,1,stop_loss,0.771355392966883,0.5221213417669155,0.4773489058243288,-0.031638784705268014,-5694.981246948242,False,1.3865742223633006,0.8270689035122247,2.2619399293478213,5.6583568339554615,2.2619399293478213,2
1,INTC-MSFT,Tech,2024-10-22,2024-10-31,9,signal,0.15737534834707617,0.16896531475046928,0.06859376091779165,0.04322772766749064,7780.990980148315,True,0.9850827065010531,0.9102325317522426,2.625695819828908,3.954595502096371,-2.146946323257402,3
2,INTC-NVDA,Tech,2024-10-31,2024-11-05,5,signal,0.09326996904197998,0.27850926182736124,0.6651099915671925,0.0464054171456231,8352.975086212158,True,0.6669621835182492,0.9354050362982013,-2.3496246713982787,-2.3496246713982787,-0.51598466775971,3
3,INTC-ORCL,Tech,2024-11-27,2024-12-04,7,signal,0.2592054102831134,0.4565740926246695,0.4322818257316336,0.04934065055847168,8881.317100524902,True,0.17895936004499421,0.9838861224884684,-2.2939295728893727,-2.746539831608683,-0.11390479181048553,3
1,AAPL-INTC,Tech,2025-01-10,2025-01-17,7,signal,-0.6652500321631806,-1.6989887520746183,0.6084435336309022,0.10292134499020046,18525.842098236084,True,0.756755920433769,0.9261015199414819,-2.373978149859252,-2.6534351762235713,1.1939711129344448,4
