window,scope,start_index,start_A,start_B,mechanism,case,sizing_source,allocator_source,annualized_return,annualized_volatility,sharpe,max_drawdown,n_days,rejected_entries
recent,run,4,2023-05-01,2024-03-01,A,case_3_v2_sizing_v1_allocator,v2,v1,0.04960343592168415,0.053401253987924995,0.9330544000021035,-0.03628086792467211,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,A,case_4_v1_sizing_v2_allocator,v1,v2,0.049245332107207496,0.08653581466426284,0.5987473334920861,-0.08458808888531921,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,B,case_1_v1_sizing_v1_allocator,v1,v1,0.11987444673247794,0.08723980350724807,1.341111549461237,-0.05542154051878878,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,B,case_2_v2_sizing_v2_allocator,v2,v2,0.013316750113105513,0.05307517747303999,0.275740885228193,-0.05725925657269637,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,B,case_3_v2_sizing_v1_allocator,v2,v1,0.054075282915149625,0.05302065520686509,1.0195672404370102,-0.03635504502671061,410.0,0.0
recent,run,4,2023-05-01,2024-03-01,B,case_4_v1_sizing_v2_allocator,v1,v2,0.05685695445633687,0.08591010733947667,0.6866296202401438,-0.08483389489342641,410.0,0.0
historical,run,0,2014-01-01,2014-11-01,A,case_1_v1_sizing_v1_allocator,v1,v1,0.09098047531941122,0.08046115027337992,1.1222203409030458,-0.08952974140493075,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,A,case_2_v2_sizing_v2_allocator,v2,v2,0.04043372923994992,0.039526709261098594,1.0225525213643203,-0.04986683592651331,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,A,case_3_v2_sizing_v1_allocator,v2,v1,0.03849994261277345,0.04036949325446311,0.955945565774791,-0.04986683592651253,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,A,case_4_v1_sizing_v2_allocator,v1,v2,0.09328446288598347,0.07878058283857264,1.1712360664155606,-0.08952974140493253,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,B,case_1_v1_sizing_v1_allocator,v1,v1,0.08831583709730029,0.08010529325813628,1.0962936288662382,-0.08866595043142156,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,v2,v2,0.03910960856678125,0.039410517330916606,0.993131478411063,-0.04965148699019817,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,B,case_3_v2_sizing_v1_allocator,v2,v1,0.03726308572056447,0.04022560126872413,0.9295892401174618,-0.04965148699019806,1258.0,0.0
historical,run,0,2014-01-01,2014-11-01,B,case_4_v1_sizing_v2_allocator,v1,v2,0.09022850715251418,0.07860465392002626,1.1380467502344123,-0.08866595043142211,1258.0,0.0
historical,aggregate,0,,,A,case_1_v1_sizing_v1_allocator,v1,v1,0.09098047531941122,0.08046115027337992,1.1222203409030458,-0.08952974140493075,1258.0,0.0
historical,aggregate,0,,,A,case_2_v2_sizing_v2_allocator,v2,v2,0.04043372923994992,0.039526709261098594,1.0225525213643203,-0.04986683592651331,1258.0,0.0
historical,aggregate,0,,,A,case_3_v2_sizing_v1_allocator,v2,v1,0.03849994261277345,0.04036949325446311,0.955945565774791,-0.04986683592651253,1258.0,0.0
historical,aggregate,0,,,A,case_4_v1_sizing_v2_allocator,v1,v2,0.09328446288598347,0.07878058283857264,1.1712360664155606,-0.08952974140493253,1258.0,0.0
historical,aggregate,0,,,B,case_1_v1_sizing_v1_allocator,v1,v1,0.08831583709730029,0.08010529325813628,1.0962936288662382,-0.08866595043142156,1258.0,0.0
historical,aggregate,0,,,B,case_2_v2_sizing_v2_allocator,v2,v2,0.03910960856678125,0.039410517330916606,0.993131478411063,-0.04965148699019817,1258.0,0.0
historical,aggregate,0,,,B,case_3_v2_sizing_v1_allocator,v2,v1,0.03726308572056447,0.04022560126872413,0.9295892401174618,-0.04965148699019806,1258.0,0.0
historical,aggregate,0,,,B,case_4_v1_sizing_v2_allocator,v1,v2,0.09022850715251418,0.07860465392002626,1.1380467502344123,-0.08866595043142211,1258.0,0.0
recent,aggregate,all,,,A,case_1_v1_sizing_v1_allocator,v1,v1,0.09446193015371311,0.08603093314998785,1.0936916085691977,-0.055413415552036896,450.4,0.0
recent,aggregate,all,,,A,case_2_v2_sizing_v2_allocator,v2,v2,0.01918518619565681,0.05382488109946597,0.3723888589119787,-0.04949042979892184,450.4,0.0
recent,aggregate,all,,,A,case_3_v2_sizing_v1_allocator,v2,v1,0.04504696134778792,0.051567127286724204,0.8791381631774126,-0.034762429298447486,450.4,0.0
recent,aggregate,all,,,A,case_4_v1_sizing_v2_allocator,v1,v2,0.05316257238547464,0.08992107283780917,0.6144862885556905,-0.07561828682972575,450.4,0.0
recent,aggregate,all,,,B,case_1_v1_sizing_v1_allocator,v1,v1,0.0981161574139433,0.08525146343180103,1.1412630170346794,-0.055496017275742514,450.4,0.0
recent,aggregate,all,,,B,case_2_v2_sizing_v2_allocator,v2,v2,0.021420378118791116,0.05357910884491727,0.41544221480841265,-0.04942411596846306,450.4,0.0
recent,aggregate,all,,,B,case_3_v2_sizing_v1_allocator,v2,v1,0.047257351371078206,0.0512009956670801,0.9258238923150213,-0.03456989571719522,450.4,0.0
recent,aggregate,all,,,B,case_4_v1_sizing_v2_allocator,v1,v2,0.05723139064326932,0.08942138039874786,0.6608119288200006,-0.07498893422819985,450.4,0.0
