window,mechanism,hr_vs_pnl_sign,hr_vs_v1_combined_contribution,hr_vs_v1_minus_v2_contribution
historical,A,0.0022136127363091038,0.09633258712070703,0.12405992137564555
historical,B,0.0022136127363091038,0.09410244487117353,0.12160395470019336
historical,pair_level,0.0022136127363091038,0.03909729683247484,0.07020987996281454
recent,A,0.08101145719747667,0.09972823071985425,0.10838495697639743
recent,B,0.08101145719747667,0.09962339428951811,0.10790845946790732
recent,pair_level,0.08101145719747667,0.11392618860139023,0.16951564648648093
