window,mechanism,metric,case_1_v1_v1,case_2_v2_v2,case_3_v2_v1,case_4_v1_v2,total_v2_minus_v1,sizing_effect_holding_v1_allocator,allocator_effect_holding_v1_sizing,interaction_residual,v2_path_recovery_vs_case2,v2_allocator_penalty_on_v1
historical,A,sharpe,1.1222203409030458,1.0225525213643203,0.955945565774791,1.1712360664155606,-0.0996678195387255,-0.16627477512825484,0.04901572551251476,0.017591230077014686,-0.06660695558952934,0.04901572551251476
historical,A,annualized_return,0.09098047531941122,0.04043372923994992,0.03849994261277345,0.09328446288598347,-0.0505467460794613,-0.05248053270663777,0.002303987566572241,-0.0003702009393957706,-0.0019337866271764703,0.002303987566572241
historical,A,annualized_volatility,0.08046115027337992,0.039526709261098594,0.04036949325446311,0.07878058283857264,-0.04093444101228133,-0.040091657018916815,-0.0016805674348072813,0.000837783441442766,0.0008427839933645154,-0.0016805674348072813
historical,B,sharpe,1.0962936288662382,0.993131478411063,0.9295892401174618,1.1380467502344123,-0.10316215045517518,-0.16670438874877636,0.041753121368174106,0.021789116925426955,-0.06354223829360117,0.041753121368174106
historical,B,annualized_return,0.08831583709730029,0.03910960856678125,0.03726308572056447,0.09022850715251418,-0.049206228530519036,-0.05105275137673582,0.0019126700552138942,-6.61472089971138e-05,-0.0018465228462167804,0.0019126700552138942
historical,B,annualized_volatility,0.08010529325813628,0.039410517330916606,0.04022560126872413,0.07860465392002626,-0.04069477592721968,-0.03987969198941215,-0.0015006393381100241,0.00068555540030249,0.0008150839378075272,-0.0015006393381100241
recent,A,sharpe,1.0936916085691977,0.3723888589119787,0.8791381631774126,0.6144862885556905,-0.721302749657219,-0.2145534453917851,-0.47920532001350713,-0.027543984251926723,0.5067493042654339,-0.47920532001350713
recent,A,annualized_return,0.09446193015371311,0.01918518619565681,0.04504696134778792,0.05316257238547464,-0.07527674395805631,-0.04941496880592519,-0.041299357768238475,0.015437582616107365,0.02586177515213111,-0.041299357768238475
recent,A,annualized_volatility,0.08603093314998785,0.05382488109946597,0.051567127286724204,0.08992107283780917,-0.03220605205052188,-0.03446380586326364,0.0038901396878213285,-0.0016323858750795645,-0.002257753812741764,0.0038901396878213285
recent,B,sharpe,1.1412630170346794,0.41544221480841265,0.9258238923150213,0.6608119288200006,-0.7258208022262667,-0.2154391247196581,-0.48045108821467875,-0.02993058929192971,0.5103816775066086,-0.48045108821467875
recent,B,annualized_return,0.0981161574139433,0.021420378118791116,0.047257351371078206,0.05723139064326932,-0.07669577929515219,-0.0508588060428651,-0.040884766770673986,0.015047793518386893,0.02583697325228709,-0.040884766770673986
recent,B,annualized_volatility,0.08525146343180103,0.05357910884491727,0.0512009956670801,0.08942138039874786,-0.03167235458688376,-0.034050467764720926,0.004169916966946838,-0.001791803789109661,-0.0023781131778371697,0.004169916966946838
