scope,mechanism,unit,top_n,top_contribution,total_v1_minus_v2,share_of_total_pct
recent_aggregate,A,trade_contribution_difference,1,24976.428794264142,693022.195954893,3.6039868477588834
recent_aggregate,A,trade_contribution_difference,5,76320.74034848256,693022.195954893,11.012741120552807
recent_aggregate,A,trade_contribution_difference,10,133666.7357926117,693022.195954893,19.287511507252173
recent_aggregate,A,trade_contribution_difference,20,232448.35272074502,693022.195954893,33.54125655390617
recent_aggregate,A,daily_return_difference,1,0.031034336836703848,0.6487840514045032,4.783461734227278
recent_aggregate,A,daily_return_difference,5,0.12516397800909235,0.6487840514045032,19.292086132224487
recent_aggregate,A,daily_return_difference,10,0.1957951038095534,0.6487840514045032,30.178778807168808
recent_aggregate,A,daily_return_difference,20,0.2915675643385918,0.6487840514045032,44.94061833169286
recent_aggregate,B,trade_contribution_difference,1,24959.641622126088,707122.9823546833,3.529745496181125
recent_aggregate,B,trade_contribution_difference,5,75985.37200196477,707122.9823546833,10.745708157997832
recent_aggregate,B,trade_contribution_difference,10,132043.83810769126,707122.9823546833,18.673390824887637
recent_aggregate,B,trade_contribution_difference,20,230192.83821726442,707122.9823546833,32.553437515315096
recent_aggregate,B,daily_return_difference,1,0.031274195222910584,0.6583077215467947,4.750695487731342
recent_aggregate,B,daily_return_difference,5,0.12575258381747148,0.6583077215467947,19.102401460823906
recent_aggregate,B,daily_return_difference,10,0.1967772859932533,0.6583077215467947,29.89138355097749
recent_aggregate,B,daily_return_difference,20,0.2913072731347434,0.6583077215467947,44.250927582965666
recent_aggregate,all,trade_contribution_difference,1,24976.428794264142,1400145.1783095766,1.7838456455221798
recent_aggregate,all,trade_contribution_difference,5,91683.67820476952,1400145.1783095766,6.548155121703955
recent_aggregate,all,trade_contribution_difference,10,152462.73533074683,1400145.1783095766,10.889066197750875
recent_aggregate,all,trade_contribution_difference,20,265829.51610289427,1400145.1783095766,18.985853768666733
recent_aggregate,all,daily_return_difference,1,0.031274195222910584,1.307091772951298,2.392654890046183
recent_aggregate,all,daily_return_difference,5,0.14918552801253177,1.307091772951298,11.413546554247219
recent_aggregate,all,daily_return_difference,10,0.25091656182656386,1.307091772951298,19.19655276079172
recent_aggregate,all,daily_return_difference,20,0.39257238980280673,1.307091772951298,30.03403417622413
historical_aggregate,A,trade_contribution_difference,1,34165.871593665186,325680.22725304787,10.49061893681341
historical_aggregate,A,trade_contribution_difference,5,139950.66680736188,325680.22725304787,42.971803350721274
historical_aggregate,A,trade_contribution_difference,10,223818.59612184248,325680.22725304787,68.72342174704372
historical_aggregate,A,trade_contribution_difference,20,313681.4158263902,325680.22725304787,96.31576914329072
historical_aggregate,B,trade_contribution_difference,1,34391.65959816819,314663.9598724067,10.929646856320531
historical_aggregate,B,trade_contribution_difference,5,141571.9691907207,314663.9598724067,44.9914789250497
historical_aggregate,B,trade_contribution_difference,10,222791.26304182888,314663.9598724067,70.80291722387548
historical_aggregate,B,trade_contribution_difference,20,308335.2992056458,314663.9598724067,97.98875579226579
historical_aggregate,all,trade_contribution_difference,1,34391.65959816819,640344.1871254545,5.3708084323455045
historical_aggregate,all,trade_contribution_difference,5,158474.5102757909,640344.1871254545,24.748332765726033
historical_aggregate,all,trade_contribution_difference,10,281522.63599808264,640344.1871254545,43.96426822610127
historical_aggregate,all,trade_contribution_difference,20,446609.8591636714,640344.1871254545,69.74528201287049
