date,start_index,start_A,start_B,mechanism,v1_daily_pnl,v2_daily_pnl,v1_account_return,v2_account_return,v1_account_equity,v2_account_equity,v1_a_long_exposure,v1_a_short_exposure,v1_a_total_gross_exposure,v1_b_long_exposure,v1_b_short_exposure,v1_b_total_gross_exposure,v1_total_gross_exposure,v1_net_exposure,v1_gross_leverage,v2_a_long_exposure,v2_a_short_exposure,v2_a_total_gross_exposure,v2_b_long_exposure,v2_b_short_exposure,v2_b_total_gross_exposure,v2_total_gross_exposure,v2_net_exposure,v2_gross_leverage,v1_pnl_supporting_a_gross_exposure,v1_pnl_supporting_b_gross_exposure,v1_pnl_supporting_total_gross_exposure,v2_pnl_supporting_a_gross_exposure,v2_pnl_supporting_b_gross_exposure,v2_pnl_supporting_total_gross_exposure,v1_return_on_gross,v2_return_on_gross,v1_a_weight,v1_b_weight,v2_a_weight,v2_b_weight,v1_minus_v2_gross_leverage,v1_minus_v2_account_return,v1_v2_total_gross_exposure_ratio,v1_matched_to_v2_daily_pnl,v1_matched_to_v2_account_return,v1_matched_to_v2_account_equity,v1_matched_to_v2_gross_exposure,v2_matched_to_v1_daily_pnl,v2_matched_to_v1_account_return,v2_matched_to_v1_account_equity,v2_matched_to_v1_gross_exposure,v1_efficiency_index,v2_efficiency_index
2024-01-02,0,2023-01-01,2023-11-01,A,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.5,0.5,0.5,0.5,0.0,0.0,,0.0,0.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0,1.0,1.0
2024-01-03,0,2023-01-01,2023-11-01,A,-31848.41246509552,-10470.585195541382,-0.03184841246509552,-0.010470585195541383,968151.5875349045,989529.4148044586,1063222.096206665,2026461.4598503113,3089683.5560569763,138345.9979248047,122285.20555114746,260631.20347595215,3350314.7595329285,-947178.571269989,3.460527052445845,417495.3909702301,697352.8225507736,1114848.2135210037,65510.899017333984,57928.55130004883,123439.45031738281,1238287.6638383865,-272275.08386325836,1.2513904542019958,3113157.280526161,263765.98497772217,3376923.2655038834,1123803.898730278,124924.36604309082,1248728.2647733688,-0.009431192230642321,-0.008384998955270452,0.5,0.5,0.5,0.5,2.209136598243849,-0.021377827269554135,2.70560295266754,-11776.996308914062,-0.011776996308914062,988223.003691086,1238287.6638383865,-28315.498053278545,-0.028315498053278546,971684.5019467215,3350314.7595329285,0.9905688077693576,0.9916150010447295
2024-01-04,0,2023-01-01,2023-11-01,A,-4515.648412704468,-507.2719945907593,-0.004664195639240912,-0.0005126396315272766,963635.9391222,989022.1428098679,951228.713602066,1853131.7403831482,2804360.4539852142,0.0,0.0,0.0,2804360.4539852142,-901903.0267810822,2.9101866588120155,370996.69799137115,624726.3980112076,995723.0960025787,0.0,0.0,0.0,995723.0960025787,-253729.70001983643,1.0067753318178227,2791362.7670707703,0.0,2791362.7670707703,993696.2884569168,0.0,993696.2884569168,-0.0016177218045518127,-0.0005104899761460192,0.5,0.5,0.5,0.5,1.9034113269941928,-0.004151556007713636,2.8164059518590814,-1607.5241529389623,-0.0016266815758535682,986615.479538147,995723.0960025787,-1424.9627123768437,-0.0014664870228165644,970259.5392343446,2804360.4539852142,0.9889663430101203,0.9911087915265002
2024-01-05,0,2023-01-01,2023-11-01,A,20963.091237068176,5773.2834668159485,0.021754160867188056,0.005837365228662852,984599.0303592682,994795.4262766838,873345.8679800034,1595139.2707252502,2468485.1387052536,68941.04125976562,124950.0,193891.04125976562,2662376.179965019,-777802.3614854813,2.7040207209970037,343606.7583785057,531060.5903291702,874667.3487076759,44290.61080932617,80384.5,124675.11080932617,999342.4595170021,-223547.72114133835,1.0045708224225929,2473118.9963970184,193884.08068847656,2667003.077085495,876184.8757648468,124670.54544067383,1000855.4212055206,0.007860167623044768,0.005768349098676095,0.5,0.5,0.5,0.5,1.6994498985744109,0.015916795638525202,2.6641279519453094,7866.891377108466,0.007973614381958719,994482.3709152555,999342.4595170021,15384.204795872487,0.015855762477751608,985643.744030217,2662376.179965019,0.9967397842397294,0.9968258530307922
2024-01-08,0,2023-01-01,2023-11-01,A,4044.3112478256226,1606.4453020095825,0.00410757183698414,0.001614849907404761,988643.3416070938,996401.8715786934,879186.9538135529,1598489.2478256226,2477676.2016391754,71280.24230957031,125735.99853515625,197016.24084472656,2674692.442483902,-773758.0502376556,2.7054169384644244,345920.1207232475,532764.6489887238,878684.7697119713,45793.41148376465,80890.15905761719,126683.57054138184,1005368.3402533531,-221941.27583932877,1.0089988476842715,2468485.1387052536,193891.04125976562,2662376.179965019,874667.3487076759,124675.11080932617,999342.4595170021,0.001519060784219742,0.001607502299848245,0.5,0.5,0.5,0.5,1.696418090780153,0.002492721929579379,2.660410453953502,1518.0619402579828,0.001526484515618773,996000.4328555135,1005368.3402533531,4279.775832354953,0.004342112308099576,989923.519862572,2674692.442483902,0.9982538925580396,0.9984282528820875
2024-01-09,0,2023-01-01,2023-11-01,A,-15037.802269935608,-4759.173956871033,-0.015210543213178211,-0.004776359913225198,973605.5393371582,991642.6976218224,872137.0755243301,1604959.2948532104,2477096.3703775406,194744.2281074524,263515.7823944092,458260.0105018616,2935356.380879402,-801593.7736158371,3.014933936055691,343447.729988575,534184.0021572113,877631.7321457863,104458.95481109619,146456.79400634766,250915.74881744385,1128547.4809632301,-232734.1113638878,1.1380585806457664,2477676.2016391754,459807.6286659241,2937483.8303050995,878684.7697119713,251606.6332168579,1130291.4029288292,-0.005119280016044793,-0.004210572551944556,0.5,0.5,0.5,0.5,1.8768753554099245,-0.010434183299953013,2.601003883659407,-5786.278191320787,-0.005809513731567005,990214.1546641927,1128547.4809632301,-12368.488787663611,-0.012494388242619683,977555.0310749083,2935356.380879402,0.9931435513549284,0.9942242982854161
2024-01-10,0,2023-01-01,2023-11-01,A,6765.838302612305,2037.85751247406,0.0069492602797007145,0.002055032036600775,980371.3776397705,993680.5551342964,623776.3825845718,1319675.8394737244,1943452.2220582962,196807.57440185547,266246.00090026855,463053.575302124,2406505.79736042,-765337.8833875656,2.4546879399458263,225412.16821336746,400541.17715358734,625953.3453669548,105604.68211364746,147892.88092041016,253497.56303405762,879450.9084010124,-217417.20774698257,0.8850438944960075,1950636.4042978287,458260.0105018616,2408896.4147996902,627419.3564362526,250915.74881744385,878335.1052536964,0.0028086879373660873,0.0023201366998595024,0.5,0.5,0.5,0.5,1.5696440454498188,0.00489422824309994,2.7363730873117715,2466.9692150912297,0.0024913491727734825,992681.1238792839,879450.9084010124,5588.968978136741,0.005717293452002568,983144.0000530451,2406505.79736042,0.995932981667692,0.9965310345677603
2024-01-11,0,2023-01-01,2023-11-01,A,-9770.23910331726,-2430.2051882743835,-0.009965855109763574,-0.0024456604043599705,970601.1385364532,991250.349946022,617992.2404356003,1322947.5825462341,1940939.8229818344,73146.43811035156,129023.99597167969,202170.43408203125,2143110.2570638657,-760832.899971962,2.2080236381088647,223606.10677051544,400704.6998357773,624310.8066062927,46992.33378601074,83005.43740844727,129997.77119445801,754308.5778007507,-213111.69668769836,0.760966770747497,1943452.2220582962,199092.8018798828,2142545.023938179,625953.3453669548,128018.88121032715,753972.226577282,-0.004560109119834847,-0.0032232025300275276,0.5,0.5,0.5,0.5,1.4470568673613677,-0.007520194705403604,2.8411585392708663,-3438.195626517249,-0.0034635448824504437,989242.9282527666,754308.5778007507,-6905.856541855429,-0.007024257424632431,976238.1435111897,2143110.2570638657,0.9913914185952448,0.9933190132158906
2024-01-12,0,2023-01-01,2023-11-01,A,14471.220798015594,4722.961546421051,0.014909544429173461,0.004764650571551614,985072.3593344688,995973.3114924431,896583.443693161,1547536.1847572327,2444119.6284503937,200091.67047595978,202949.9981689453,403041.6686449051,2847161.2970952988,-653811.0687570572,2.8903067577887254,356405.35071611404,510860.1649465561,867265.5156626701,127417.94713401794,129763.69882202148,257181.64595603943,1124447.1616187096,-156800.5659184456,1.1289932658273256,2468757.6709623337,399465.46176195145,2868223.132724285,873988.3447113037,254901.31472682953,1128889.6594381332,0.005045360883157857,0.004183722923613053,0.5,0.5,0.5,0.5,1.7613134919613997,0.010144893857621847,2.532054323474514,5695.655729130553,0.0057575905437003295,994938.5839818972,1124447.1616187096,11999.850870415838,0.012291929945757436,988237.9943816055,2847161.2970952988,0.9963933460785236,0.9974747847419425
2024-01-16,0,2023-01-01,2023-11-01,A,-5975.773686408997,-2608.840536594391,-0.006066329675970533,-0.0026193879961352614,979096.5856480598,993364.4709558487,762154.0840024948,1422974.964466095,2185129.04846859,194505.94805431366,202172.69561767578,396678.64367198944,2581807.692140579,-668487.6280269623,2.6369285012179793,289666.916642189,448268.2244129181,737935.1410551071,123861.25692176819,129285.64219665527,253146.89911842346,991082.0401735306,-164025.69304561615,0.997702322914648,2200965.124300003,403041.6686449051,2604006.792944908,742918.49512434,257181.64595603943,1000100.1410803795,-0.0022948379791478614,-0.0026085793106439673,0.5,0.5,0.5,0.5,1.6392261783033313,-0.0034469416798352712,2.605039328215982,-2295.067786702389,-0.002306743173550648,992643.5161951948,991082.0401735306,-6792.758244852437,-0.006873605632925535,981445.2361367531,2581807.692140579,0.9941067847857724,0.9948727926555756
