window,start_index,start_A,start_B,mechanism,leg,pair,fold_id,entry_date,exit_date,exit_reason,entry_hedge_ratio,abs_entry_hedge_ratio,v1_reference_leg_sizing_budget,v1_actual_gross_exposure,v1_sizing_time_gross_exposure,v2_pair_gross_budget,v2_actual_gross_exposure,v1_gross_v2_gross_ratio,v1_final_dollar_pnl_pre_combined_rescaling,v2_final_dollar_pnl_pre_combined_rescaling,v1_normalized_trade_pnl,v2_normalized_trade_pnl,v1_allocator_weight_applicable_at_entry,v2_allocator_weight_applicable_at_entry,v1_replay_allocation,v2_replay_allocation,v1_final_contribution_to_combined_book,v2_final_contribution_to_combined_book,contribution_difference_v1_minus_v2,trade_identity_match
recent,0,2023-01-01,2023-11-01,A,A,ELV-WAT,0,2024-01-02,2024-01-03,stop_loss,1.454646992176042,1.454646992176042,250000.0,612665.8006591797,612665.8006591797,250000.0,248819.92236328125,2.4622859570090108,-18540.562469482426,-7537.241729736328,-0.0741622498779296,-0.0301489669189453,0.5,0.5,125000.0,125000.0,-9270.2812347412,-3768.6208648681627,-5501.660369873038,True
recent,0,2023-01-01,2023-11-01,A,A,ELV-NTRS,0,2024-01-02,2024-01-04,stop_loss,1.9823207003155836,1.9823207003155836,250000.0,745483.083480835,745483.083480835,250000.0,249886.3045349121,2.9832890796809637,-13612.244155883787,-4562.960296630859,-0.0544489766235351,-0.0182518411865234,0.5,0.5,125000.0,125000.0,-6806.122077941887,-2281.4801483154247,-4524.641929626463,True
recent,0,2023-01-01,2023-11-01,A,A,MCHP-TEL,0,2024-01-02,2024-01-04,signal,0.7383503797406608,0.7383503797406608,250000.0,434497.2479019165,434497.2479019165,250000.0,249837.2374954224,1.7391212465270616,4889.520347595215,2811.702995300293,0.0195580813903808,0.0112468119812011,0.5,0.5,125000.0,125000.0,2444.7601737975997,1405.8514976501376,1038.908676147462,True
recent,0,2023-01-01,2023-11-01,A,A,FFIV-IBM,0,2024-01-04,2024-01-09,signal,0.9931784932746308,0.9931784932746308,250000.0,497963.1799468994,497963.1799468994,250000.0,249695.9405670166,1.9942782362264702,4532.940933227539,2272.8683013916016,0.0181317637329101,0.0090914732055664,0.5,0.5,125000.0,125000.0,2266.4704666137623,1136.4341506958,1130.0363159179622,True
recent,0,2023-01-01,2023-11-01,A,A,ATO-OTIS,0,2024-01-02,2024-01-09,stop_loss,1.2148302472723582,1.2148302472723582,250000.0,553459.2687072754,553459.2687072754,250000.0,249947.200378418,2.2143047326369034,-8036.229064941406,-3629.1559295654297,-0.0321449162597656,-0.0145166237182617,0.5,0.5,125000.0,125000.0,-4018.1145324707,-1814.5779647827123,-2203.5365676879874,True
recent,0,2023-01-01,2023-11-01,A,A,ELV-SRE,0,2024-01-11,2024-01-12,signal,0.9531590363160748,0.9531590363160748,250000.0,487953.28189849854,487953.28189849854,250000.0,249531.1231689453,1.955480645867687,5451.68709564209,2786.6803588867188,0.0218067483825683,0.0111467214355468,0.5,0.5,125000.0,125000.0,2725.8435478210376,1393.34017944335,1332.5033683776876,True
recent,0,2023-01-01,2023-11-01,A,A,NI-YUM,0,2024-01-02,2024-01-16,signal,0.5453288017904647,0.5453288017904647,250000.0,386213.7487716675,386213.7487716675,250000.0,249808.61575126648,1.5460385447882994,5194.065711975098,3359.5286350250244,0.0207762628479003,0.0134381145401,0.5,0.5,125000.0,125000.0,2597.0328559875375,1679.7643175125002,917.2685384750373,True
recent,0,2023-01-01,2023-11-01,A,A,ELV-KEY,0,2024-01-02,2024-01-17,max_holding_loss,2.955170618348749,2.955170618348749,250000.0,988672.8193588257,988672.8193588257,250000.0,249939.83178806305,3.9556432933713928,-8995.083045959473,-2274.347403526306,-0.0359803321838378,-0.0090973896141052,0.5,0.5,125000.0,125000.0,-4497.541522979725,-1137.17370176315,-3360.3678212165755,True
recent,0,2023-01-01,2023-11-01,A,A,ELV-USB,0,2024-01-02,2024-01-17,stop_loss,2.5444350522646983,2.5444350522646983,250000.0,885876.9447059631,885876.9447059631,250000.0,249923.30699157715,3.5445951614901556,-13991.939971923828,-3948.024291992188,-0.0559677598876953,-0.0157920971679687,0.5,0.5,125000.0,125000.0,-6995.969985961912,-1974.0121459960874,-5021.957839965825,True
recent,0,2023-01-01,2023-11-01,A,A,ELV-HBAN,0,2024-01-02,2024-01-17,max_holding_loss,1.923930931925904,1.923930931925904,250000.0,730820.384305954,730820.384305954,250000.0,249747.8962469101,2.926232393899477,-9331.190214157104,-3192.2598943710327,-0.0373247608566284,-0.0127690395774841,0.5,0.5,125000.0,125000.0,-4665.5951070785495,-1596.1299471855125,-3069.465159893037,True
