fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,0.14458429938921788,42,20
1,2015-04-01,2015-06-30,-0.030726071821618472,19,20
2,2015-07-01,2015-09-30,-0.06591072728168547,10,20
3,2015-10-01,2015-12-31,-0.025344959157822193,23,20
4,2016-01-01,2016-03-31,-0.010031518598379805,29,20
5,2016-04-01,2016-06-30,0.18216351894902919,35,20
6,2016-07-01,2016-09-30,-0.016166383215050133,28,20
7,2016-10-01,2016-12-31,-0.12374190008350466,18,20
8,2017-01-01,2017-03-31,0.025498006655327015,25,20
9,2017-04-01,2017-06-30,-0.16645586313179422,23,20
10,2017-07-01,2017-09-30,-0.0046158713302293305,18,20
11,2017-10-01,2017-12-31,-0.03633450369450897,19,20
12,2018-01-01,2018-03-31,-0.22604324430411168,27,20
13,2018-04-01,2018-06-30,-0.10788872182122425,28,20
14,2018-07-01,2018-09-30,0.057512058150475234,33,20
15,2018-10-01,2018-12-31,0.11109989513956531,23,20
16,2019-01-01,2019-03-31,0.11274238876167944,33,20
17,2019-04-01,2019-06-30,0.024226680354833854,31,20
18,2019-07-01,2019-09-30,0.07077278981483609,27,20
19,2019-10-01,2019-12-31,0.07492494736290298,17,20
