entry_z,exit_z,hr_thresh,resid_val,avg_sharpe,std_sharpe,total_trades,avg_win_rate,total_pnl,score
2.2,1.0,0.8,90,0.10678715847245189,0.11155753708172945,212,0.5731196581196581,269114.90649318695,0.05100838993158716
2.2,1.0,0.6,90,0.09779293038863118,0.104190267922667,186,0.5905555555555555,255503.69506549835,0.04569779642729768
2.2,1.0,0.4,90,0.08240691772791937,0.07660038573521998,148,0.5816666666666667,198160.767745018,0.044106724860309386
2.2,0.6,0.8,90,0.10525746426364911,0.12318832145598965,212,0.5359900284900284,251721.9057302475,0.043663303535654285
1.8,1.4,0.6,45,0.08730953151488631,0.09223584293033436,424,0.5644490231990231,365749.68191051483,0.04119161004971913
2.2,1.4,0.8,90,0.09622546763644117,0.11394185745304632,212,0.5781481481481482,216898.30757045746,0.039254538909918014
2.2,0.6,0.6,90,0.10111370273410113,0.12446736110525447,186,0.5656481481481481,243885.61501407623,0.03888002218147389
2.2,1.4,0.6,90,0.08907048302967085,0.10284531458440474,186,0.5723400673400673,200416.30673122406,0.037647825737468485
2.2,1.4,0.4,90,0.07633656496838971,0.08440918449656751,148,0.5483730158730159,154653.4656267166,0.03413197272010596
2.2,0.6,0.4,90,0.08081280831975346,0.09410315587627537,148,0.5935714285714285,180687.66601467133,0.03376123038161578
1.8,1.0,0.6,45,0.08735463144436664,0.11886565714981634,410,0.545914144335197,366880.13464450836,0.027921802869458473
1.8,1.0,0.4,45,0.07104496635088489,0.0891322217538464,328,0.5627284752284752,285093.2693538666,0.026478855473961692
1.8,1.4,0.4,45,0.07079279471809122,0.09274860635151375,340,0.5780003330003329,281398.5732946396,0.024418491542334345
2.2,0.6,0.4,60,0.09444763061864737,0.144871000470509,136,0.5639285714285714,168257.97507858276,0.022012130383392878
1.8,1.0,0.4,90,0.07916061180784265,0.1284364582408448,396,0.5427710171092525,238602.5007553101,0.01494238268742025
1.8,1.4,0.8,90,0.08451438041146637,0.14022142188982484,592,0.5558060472130334,274699.0311136246,0.014403669466553956
2.2,0.6,0.4,45,0.08312804071891253,0.13999239751181097,100,0.5344444444444444,159028.0939836502,0.01313184196300704
1.8,1.0,0.8,45,0.08128392522995838,0.1380582659322719,496,0.5475906174435586,416180.1084432602,0.012254792263822423
1.8,0.6,0.4,90,0.07864000398440073,0.13285524823478292,388,0.538791995041995,232081.63015556335,0.012212379867009265
2.2,0.6,0.6,45,0.0779693247420728,0.13341940705446917,138,0.4951984126984127,181172.0299100876,0.011259621214838214
1.8,1.0,0.8,90,0.08388668184055793,0.146462188502093,574,0.5379875509480773,299262.13178157806,0.010655587589511434
1.8,0.6,0.8,30,0.06318764525845898,0.10880737302846895,418,0.5442382719046805,279701.419672966,0.008783958744224503
1.8,1.4,0.8,45,0.07504136618426091,0.13598422260256812,514,0.5637706656089009,381674.7722234726,0.007049254882976849
2.2,1.0,0.4,45,0.07517102487828048,0.1368683562624879,100,0.5455555555555556,166669.97495365143,0.0067368467470365345
2.2,0.6,0.4,30,0.05523901720319314,0.09760877343194554,84,0.4911111111111111,66746.62015914917,0.006434630487220365
2.2,1.0,0.4,60,0.07799905484031465,0.1433615742199419,136,0.5114285714285715,132114.78824996948,0.006318267730343705
2.2,1.4,0.4,60,0.07271901512001062,0.13517616851356315,138,0.5023015873015874,105598.30859470367,0.0051309308632290496
2.2,1.0,0.6,45,0.07162587851152186,0.13309565416270064,138,0.5288888888888889,190960.58017253876,0.005078051430171537
2.2,1.0,0.4,30,0.048837788222898464,0.08773339825298787,86,0.4994444444444444,58628.56184005737,0.004971089096404528
1.8,1.0,0.6,90,0.08263045749925478,0.15619605877883844,508,0.5408558931894845,279896.2963256836,0.004532428109835562
1.8,0.6,0.4,45,0.04699628590542583,0.08493509792453505,316,0.5484780034780035,196664.40590763092,0.004528736943158307
1.8,1.4,0.4,90,0.06782387456206752,0.12893151091367147,406,0.5359893606565433,174857.32927894592,0.0033581191052317882
1.8,0.6,0.8,90,0.0755008417438396,0.14501060792198628,554,0.5063349959866987,280445.34885311127,0.0029955377828464608
2.2,0.6,0.8,60,0.09378894638851186,0.18253827558533145,188,0.5470767195767196,132769.82604503632,0.0025198085958461347
1.8,1.4,0.6,90,0.07828876777274157,0.15323396169040954,522,0.5426766259570137,246832.18469810486,0.0016717869275368058
1.8,1.0,0.8,30,0.05586400293033092,0.11672286084364679,434,0.5544479812126871,273364.4502725601,-0.002497427491492475
1.8,0.6,0.6,90,0.07515532261388795,0.15913875662105856,486,0.5189876463405876,273975.1903743744,-0.004414055696641328
2.2,1.4,0.4,30,0.04803518914089984,0.10755181428833376,86,0.5161111111111111,46615.4299325943,-0.005740718003267038
2.2,1.4,0.4,45,0.05566588325490706,0.12424958374524066,100,0.5594444444444444,116177.93105220795,-0.006458908617713269
1.8,0.6,0.6,45,0.05099727072244388,0.11959920796846606,394,0.513505291005291,218101.5775270462,-0.008802333261789148
2.2,1.4,0.8,60,0.0700411939355734,0.15787547233007984,190,0.5319444444444444,65932.43253803253,-0.008896542229466523
2.2,0.6,0.6,60,0.08046509389478551,0.18241673074768877,166,0.5683862433862433,126337.34088420868,-0.010743271479058875
1.8,0.6,0.8,60,0.0685998714032397,0.16008458739083278,468,0.5412945430902086,401322.5138607025,-0.011442422292176693
2.2,1.0,0.8,60,0.0759503748104217,0.17544983675026624,188,0.5070370370370371,82978.94135379791,-0.011774543564711415
1.8,0.6,0.6,30,0.04604768085864406,0.11689676743729113,334,0.5463561901061901,252386.7784423828,-0.012400702860001507
