selected_book_origin,selected_book,window,mechanism,sizing_mode,exposure_mode,aggregation,start_count,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,final_equity,mean_gross,median_gross,mean_gross_leverage,median_gross_leverage,return_on_gross,median_return_on_gross,active_days,efficiency_days,allocator_different_weight_days,allocator_identical_weight_days
v1_selected,old_v1_winner,historical,A,v1,actual,mean_across_start_iterations,1,0.5444887771118547,0.09098047531941122,0.08046115027337992,1.1222203409030458,-0.08952974140493075,1544488.7771118546,985388.5879245246,816378.2808771994,0.7549381815632992,0.6190744130382845,0.0001574706409795246,0.00031024847281492437,1255.0,1255.0,83.0,1175.0
v1_selected,old_v1_winner,historical,A,v1,matched_to_v2,mean_across_start_iterations,1,0.248097227071435,0.045394683956900383,0.04133207415418125,1.094696772779318,-0.047326323793304925,1248097.227071435,440904.0839614359,374568.20777262433,0.38567394811219324,0.32218062740836023,0.00015747064097952455,0.00031024847281492437,1255.0,1255.0,83.0,1175.0
v1_selected,old_v1_winner,historical,A,v2,actual,mean_across_start_iterations,1,0.21880854985880438,0.04043372923994992,0.039526709261098594,1.0225525213643203,-0.04986683592651331,1218808.5498588043,440904.0839614359,374568.20777262433,0.3903111568241687,0.3262427114773682,0.00011704082998329698,0.000315687829964306,1255.0,1255.0,83.0,1175.0
v1_selected,old_v1_winner,historical,A,v2,matched_to_v1,mean_across_start_iterations,1,0.49489342760848154,0.08387092503950844,0.07775083851224726,1.0746195315667775,-0.09689223867270269,1494893.4276084816,985388.5879245246,816378.2808771994,0.7646281551622088,0.6327710274506986,0.00011704082998329698,0.000315687829964306,1255.0,1255.0,83.0,1175.0
v1_selected,old_v1_winner,historical,B,v1,actual,mean_across_start_iterations,1,0.5257488077532957,0.08831583709730029,0.08010529325813628,1.0962936288662382,-0.08866595043142156,1525748.8077532956,973033.7608682984,801346.3701385041,0.745489174749091,0.6019776373657885,0.00015618909669306403,0.00032617412581190314,1255.0,1255.0,83.0,1175.0
v1_selected,old_v1_winner,historical,B,v1,matched_to_v2,mean_across_start_iterations,1,0.24267931195608772,0.04448405999076965,0.04120780779228442,1.0767193400415638,-0.04689549167099227,1242679.3119560878,436570.06707221124,366539.4387071511,0.38202363530539907,0.31720095241112894,0.00015618909669306403,0.00032617412581190314,1255.0,1255.0,83.0,1175.0
v1_selected,old_v1_winner,historical,B,v2,actual,mean_across_start_iterations,1,0.21108484788088933,0.03910960856678125,0.039410517330916606,0.993131478411063,-0.04965148699019817,1211084.8478808894,436570.06707221124,366539.4387071511,0.3867336486075128,0.32221200030064295,0.00011261433585844098,0.0003104609905247432,1255.0,1255.0,83.0,1175.0
v1_selected,old_v1_winner,historical,B,v2,matched_to_v1,mean_across_start_iterations,1,0.468790585855704,0.08005298978853093,0.0775736385485436,1.0313859421770968,-0.09665553666747595,1468790.585855704,973033.7608682984,801346.3701385041,0.7560723648609629,0.6052135102183864,0.00011261433585844101,0.0003104609905247432,1255.0,1255.0,83.0,1175.0
v1_selected,old_v1_winner,recent,A,v1,actual,mean_across_start_iterations,5,0.17318222456002902,0.09446193015371311,0.08603093314998785,1.0936916085691977,-0.055413415552036896,1173182.224560029,956021.835195665,916130.2530737426,0.887569937785134,0.8358861225279265,0.0002326085170629559,0.00020180927341438554,446.4,446.4,62.8,387.6
v1_selected,old_v1_winner,recent,A,v1,matched_to_v2,mean_across_start_iterations,5,0.07565636781950547,0.041898257337314206,0.04364524255474303,0.9691310340011003,-0.028179337156927685,1075656.3678195053,463192.60721017356,439680.57336377725,0.4474991653140094,0.42282067757236047,0.00023260851706295585,0.0002018092734143855,446.4,446.4,62.8,387.6
v1_selected,old_v1_winner,recent,A,v2,actual,mean_across_start_iterations,5,0.03457778536905156,0.01918518619565681,0.05382488109946597,0.3723888589119787,-0.04949042979892184,1034577.7853690516,463192.60721017356,439680.57336377725,0.45515319093911233,0.4325965031969675,0.00011520819713083787,0.0001525331187154259,446.4,446.4,62.8,387.6
v1_selected,old_v1_winner,recent,A,v2,matched_to_v1,mean_across_start_iterations,5,0.07328767780795667,0.04056336350880598,0.11613063829044205,0.4322150881093113,-0.11319756957091413,1073287.6778079567,956021.835195665,916130.2530737426,0.9276393192670426,0.8847537359290458,0.00011520819713083783,0.0001525331187154259,446.4,446.4,62.8,387.6
v1_selected,old_v1_winner,recent,B,v1,actual,mean_across_start_iterations,5,0.1800308343914605,0.0981161574139433,0.08525146343180103,1.1412630170346794,-0.055496017275742514,1180030.8343914603,930285.5413174268,875356.4623085295,0.8677718825379669,0.8106017826524374,0.00020840975512160669,0.0001928337359020744,446.4,446.4,62.8,387.6
v1_selected,old_v1_winner,recent,B,v1,matched_to_v2,mean_across_start_iterations,5,0.07849135257783221,0.04346062182828767,0.04331921800295642,1.0093925362577418,-0.028374838756869747,1078491.352577832,452609.97370890796,416914.83317243535,0.4384071123003476,0.39590355211795636,0.0002084097551216067,0.0001928337359020744,446.4,446.4,62.8,387.6
v1_selected,old_v1_winner,recent,B,v2,actual,mean_across_start_iterations,5,0.038606237920522576,0.021420378118791116,0.05357910884491727,0.41544221480841265,-0.04942411596846306,1038606.2379205225,452609.97370890796,416914.83317243535,0.4454663380507068,0.40489158499646233,9.537207959189092e-05,0.00014034343582654336,446.4,446.4,62.8,387.6
v1_selected,old_v1_winner,recent,B,v2,matched_to_v1,mean_across_start_iterations,5,0.08306507124419076,0.04589023144462132,0.1154815045198702,0.482763210474294,-0.11296930681854311,1083065.071244191,930285.5413174268,875356.4623085295,0.9050157365414492,0.849546092090755,9.537207959189092e-05,0.00014034343582654336,446.4,446.4,62.8,387.6
v2_selected,current_v2_rank_average_leader,historical,A,v1,actual,mean_across_start_iterations,1,0.30045408189572353,0.0543014717478032,0.08858197534613636,0.6412624864402717,-0.1072825243419242,1300454.0818957235,1402333.8991140737,1288721.9946599542,1.1847951357902482,1.1264098611398996,0.0002437238501572527,0.00018247956007925436,1247.0,1247.0,211.0,1041.0
v2_selected,current_v2_rank_average_leader,historical,A,v1,matched_to_v2,mean_across_start_iterations,1,0.17883168977560615,0.033669430278716383,0.047308453679268656,0.7236535218844261,-0.05803557850653196,1178831.6897756062,691687.4020020718,650702.5231079523,0.6269218322037444,0.5855077126429353,0.00024372385015725265,0.00018247956007925436,1247.0,1247.0,211.0,1041.0
v2_selected,current_v2_rank_average_leader,historical,A,v2,actual,mean_across_start_iterations,1,0.1893477874356959,0.035518864806450834,0.0466043974580789,0.772238460843904,-0.06097643233792527,1189347.787435696,691687.4020020718,650702.5231079523,0.6203278517940525,0.5781405147067821,0.00024622887109829167,0.00033084510709280356,1247.0,1247.0,211.0,1041.0
v2_selected,current_v2_rank_average_leader,historical,A,v2,matched_to_v1,mean_across_start_iterations,1,0.3360932087707684,0.06005442938285421,0.08626109067631192,0.7192481723166998,-0.1178413070767067,1336093.2087707685,1402333.8991140737,1288721.9946599542,1.1621249590094902,1.1039210907334058,0.0002462288710982918,0.00033084510709280356,1247.0,1247.0,211.0,1041.0
v2_selected,current_v2_rank_average_leader,historical,B,v1,actual,mean_across_start_iterations,1,0.31574435989530136,0.056784900229516655,0.0876455659471579,0.6740184743806763,-0.09769184172301482,1315744.3598953013,1368354.1406153408,1246833.4413636276,1.174465448384471,1.1103041813664423,0.00022395842359214634,0.00017930578373022288,1247.0,1247.0,211.0,1041.0
v2_selected,current_v2_rank_average_leader,historical,B,v1,matched_to_v2,mean_across_start_iterations,1,0.18691374749328737,0.035091962696835344,0.04681008140472175,0.7602384111097246,-0.055600287445643604,1186913.7474932873,680562.869353202,639343.5554224099,0.6220018260852869,0.5749614229899477,0.0002239584235921463,0.00017930578373022288,1247.0,1247.0,211.0,1041.0
v2_selected,current_v2_rank_average_leader,historical,B,v2,actual,mean_across_start_iterations,1,0.1955495187612626,0.03660343034111846,0.04624106297235773,0.8005818286741406,-0.06103728338503123,1195549.5187612625,680562.869353202,639343.5554224099,0.6155734213789815,0.5677158728279867,0.00022253922129726416,0.00031862710696884436,1247.0,1247.0,211.0,1041.0
v2_selected,current_v2_rank_average_leader,historical,B,v2,matched_to_v1,mean_across_start_iterations,1,0.34620191896224894,0.06166387049918143,0.08566038926417825,0.7414030900722475,-0.118066918606193,1346201.9189622488,1368354.1406153408,1246833.4413636276,1.1529596972287872,1.0774150346914586,0.00022253922129726407,0.00031862710696884436,1247.0,1247.0,211.0,1041.0
v2_selected,current_v2_rank_average_leader,recent,A,v1,actual,mean_across_start_iterations,5,0.2509636205583424,0.13200975810740453,0.12644488351174363,1.0064018679165394,-0.07343640650098526,1250963.6205583424,1273894.7795975409,1133774.6516070429,1.1430747675304456,1.0218014967871842,0.00029628909753519545,0.0002197995085613174,449.6,449.6,60.8,391.4
v2_selected,current_v2_rank_average_leader,recent,A,v1,matched_to_v2,mean_across_start_iterations,5,0.14997642344118103,0.0807654790914015,0.07051818681091275,1.101083068023996,-0.03845888160787565,1149976.423441181,664721.5300035084,582441.6761081864,0.6229042979827605,0.5506116725735646,0.00029628909753519545,0.0002197995085613174,449.6,449.6,60.8,391.4
v2_selected,current_v2_rank_average_leader,recent,A,v2,actual,mean_across_start_iterations,5,0.17576263046033963,0.09436266154968317,0.07276743495864244,1.2559139529143128,-0.03581449455008545,1175762.6304603398,664721.5300035084,582441.6761081864,0.6188704435561636,0.5461774571779374,0.00040421952260897713,0.00028943565843007614,449.6,449.6,60.8,391.4
v2_selected,current_v2_rank_average_leader,recent,A,v2,matched_to_v1,mean_across_start_iterations,5,0.3031282467696143,0.15831925694747415,0.1290440640070189,1.179206471818802,-0.06721459220585765,1303128.2467696143,1273894.7795975409,1133774.6516070429,1.1296441594105775,1.005897040909605,0.00040421952260897713,0.0002894356584300761,449.6,449.6,60.8,391.4
v2_selected,current_v2_rank_average_leader,recent,B,v1,actual,mean_across_start_iterations,5,0.23364215310525344,0.12249951723878331,0.12848168128794168,0.9217595457417961,-0.08560598078568853,1233642.1531052536,1243477.3958335682,1114357.5607525823,1.1283601600759718,1.0068965030975374,0.0002649833222728551,0.00021013383673364558,449.6,449.6,60.8,391.4
