selected_book_origin,selected_book,leg_a,leg_b,window,start_index,start_A,start_B,mechanism,case,sizing_mode,allocator_source,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,final_equity,rejected_entries
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,A,v2_sizing_v1_allocator,v2,v1,0.09706267285641168,0.05348943403943629,0.04991641824064307,1.0686443803646433,-0.03560352445552373,1097062.6728564117,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,B,v1_sizing_v1_allocator,v1,v1,0.20520868093007416,0.11070190382752743,0.08179051653299114,1.324167653104005,-0.050959750898283085,1205208.680930074,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,B,v2_sizing_v2_allocator,v2,v2,0.027686030730762923,0.015480305371055936,0.05633080343137766,0.30083027919640615,-0.06743373653035889,1027686.0307307629,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,B,v1_sizing_v2_allocator,v1,v2,0.125507663556218,0.06876815908416178,0.09408903331255301,0.7530038837949011,-0.08380193161183003,1125507.663556218,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,B,v2_sizing_v1_allocator,v2,v1,0.09670907887955393,0.053298423753507684,0.04954200881103097,1.0726828275344924,-0.03556266786144657,1096709.0788795538,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,A,v1_sizing_v1_allocator,v1,v1,0.17222255345434112,0.09759750840795567,0.08650588602826968,1.119291728722182,-0.047043046639273056,1172222.5534543411,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,A,v2_sizing_v2_allocator,v2,v2,0.07255279770710699,0.04190173525177676,0.05549610239396903,0.7670174467669238,-0.031303706954716404,1072552.797707107,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,A,v1_sizing_v2_allocator,v1,v2,0.12490624369491221,0.07141209636881074,0.09243305056750964,0.7916613588285522,-0.058422814692913105,1124906.2436949122,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,A,v2_sizing_v1_allocator,v2,v1,0.08793205636148205,0.050631316328859644,0.052862258379784435,0.9605058066001975,-0.030702590297976395,1087932.056361482,0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,3,2023-04-01,2024-02-01,B,v1_sizing_v1_allocator,v1,v1,0.1805170847494011,0.10214239006498627,0.08568713647945235,1.1774006485894541,-0.04679781210492173,1180517.084749401,0
