selected_book_origin,selected_book,leg_a,leg_b,window,start_index,start_A,start_B,mechanism,sizing_mode,exposure_mode,full_matrix_replay_case,final_equity,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,n_days,final_equity_multiple,mean_gross,median_gross,mean_gross_leverage,median_gross_leverage,return_on_gross,median_return_on_gross,active_days,efficiency_days,allocator_different_weight_days,allocator_identical_weight_days,allocator_different_weight_fraction,allocator_mean_abs_daily_weight_difference,allocator_max_abs_daily_weight_difference,v1_allocator_months,v1_v2_allocator_different_months,v1_v2_allocator_mean_abs_monthly_difference,v1_v2_allocator_max_abs_monthly_difference
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,v1,actual,case_1_v1_sizing_v1_allocator,1132793.0955669906,0.13279309556699048,0.0659471425801279,0.08949847720760064,0.757897246275056,-0.06680447491116259,492,1.1327930955669905,913770.0091096452,887028.6748337349,0.8797483456899213,0.8374867414622215,0.00022042019856310133,0.00015652932892328111,487,487,62,430,0.12601626016260162,0.05040650406504065,0.4,24,3,0.05000000000000001,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,v2,actual,case_2_v2_sizing_v2_allocator,1051216.460853813,0.05121646085381304,0.025913193204439633,0.0536526203120015,0.5032893652943384,-0.03494429588939252,492,1.051216460853813,474840.55403862137,459461.96454603836,0.4672660549330775,0.4524416799617968,0.00016275377653957734,-1.3908996401926049e-05,487,487,62,430,0.12601626016260162,0.05040650406504065,0.4,24,3,0.05000000000000001,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,v1,matched_to_v2,,1072962.8327086843,0.0729628327086842,0.03672918141090009,0.04834986065265351,0.7700315984373859,-0.03256903586058946,492,1.0729628327086842,474840.55403862137,459461.96454603836,0.46332531896484136,0.44341330308612276,0.00022042019856310124,0.00015652932892328111,487,487,62,430,0.12601626016260162,0.05040650406504065,0.4,24,3,0.05000000000000001,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,v2,matched_to_v1,,1094702.1591130334,0.09470215911303348,0.04743530097034676,0.0986837284654936,0.5180593883766887,-0.07231052412489936,492,1.0947021591130335,913770.0091096452,887028.6748337349,0.893510449738585,0.8533943323987591,0.00016275377653957737,-1.3908996401926049e-05,487,487,62,430,0.12601626016260162,0.05040650406504065,0.4,24,3,0.05000000000000001,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,B,v1,actual,case_1_v1_sizing_v1_allocator,1144162.8549029634,0.14416285490296343,0.07141368331999565,0.08872112477119011,0.8214226361021085,-0.06456678984993802,492,1.1441628549029634,892013.1084469525,837585.4842811648,0.8595185863504581,0.8055621429488007,0.0002213075966377678,0.00022499980243175608,487,487,62,430,0.12601626016260162,0.05040650406504065,0.4,24,3,0.05000000000000001,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,B,v2,actual,case_2_v2_sizing_v2_allocator,1057961.3706849301,0.057961370684930236,0.02927948706267469,0.05328780119837403,0.5678502037880133,-0.03393253193989576,492,1.0579613706849302,463787.21411606285,430320.71531324566,0.456429962349512,0.41076162713730274,0.00016274053391382266,9.84762793591403e-05,487,487,62,430,0.12601626016260162,0.05040650406504065,0.4,24,3,0.05000000000000001,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,B,v1,matched_to_v2,,1078482.8487233382,0.07848284872333822,0.039457609529515825,0.04797754240372171,0.8304230350657783,-0.03142522933086478,492,1.0784828487233382,463787.21411606285,430320.71531324566,0.45278282292100475,0.4067809110756806,0.00022130759663776788,0.00022499980243175608,487,487,62,430,0.12601626016260162,0.05040650406504065,0.4,24,3,0.05000000000000001,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,B,v2,matched_to_v1,,1108521.5650374983,0.10852156503749821,0.05418718727612193,0.09788291236866549,0.5871444884511605,-0.07028279811653926,492,1.1085215650374982,892013.1084469525,837585.4842811648,0.8723259661132622,0.8156436019858629,0.00016274053391382272,9.84762793591403e-05,487,487,62,430,0.12601626016260162,0.05040650406504065,0.4,24,3,0.05000000000000001,0.4
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,1,2023-02-01,2023-12-01,A,v1,actual,case_1_v1_sizing_v1_allocator,1163964.878060426,0.16396487806042614,0.08443915019598403,0.08338654562443304,1.0134882835383676,-0.0566189291229543,472,1.1639648780604261,925583.566849469,865294.8572756473,0.8702646158524053,0.8097687887349916,4.837101378330805e-05,8.07362644634268e-05,469,469,42,430,0.08898305084745763,0.05338983050847458,0.8,23,2,0.05217391304347827,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,1,2023-02-01,2023-12-01,A,v2,actual,case_2_v2_sizing_v2_allocator,1006200.4019842903,0.0062004019842902824,0.003305615015239516,0.05022030996115711,0.09078066904741912,-0.05694027365136278,472,1.0062004019842903,437415.420380893,417584.16093802376,0.43651392936400424,0.4247261727821159,-7.069599203749013e-05,7.908227409173157e-05,469,469,42,430,0.08898305084745763,0.05338983050847458,0.8,23,2,0.05217391304347827,0.8
