selected_book_origin,selected_book,leg_a,leg_b,window,start_index,start_A,start_B,mechanism,date,v1_daily_pnl,v2_daily_pnl,v1_account_return,v2_account_return,v1_account_equity,v2_account_equity,v1_gross_leverage,v2_gross_leverage,v1_return_on_gross,v2_return_on_gross,v1_matched_to_v2_daily_pnl,v1_matched_to_v2_account_return,v1_matched_to_v2_account_equity,v1_matched_to_v2_gross_leverage,v1_matched_to_v2_return_on_gross,v2_matched_to_v1_daily_pnl,v2_matched_to_v1_account_return,v2_matched_to_v1_account_equity,v2_matched_to_v1_gross_leverage,v2_matched_to_v1_return_on_gross,v1_pnl_supporting_total_gross_exposure,v2_pnl_supporting_total_gross_exposure,v1_a_weight,v2_a_weight,weights_different,v1_a_long_exposure,v1_a_short_exposure,v1_a_total_gross_exposure,v1_b_long_exposure,v1_b_short_exposure,v1_b_total_gross_exposure,v1_total_gross_exposure,v2_a_long_exposure,v2_a_short_exposure,v2_a_total_gross_exposure,v2_b_long_exposure,v2_b_short_exposure,v2_b_total_gross_exposure,v2_total_gross_exposure
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-02,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,,,0.0,0.0,1000000.0,0.0,,0.0,0.0,1000000.0,0.0,,0.0,0.0,0.5,0.5,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-03,-31848.41246509552,-10470.585195541382,-0.03184841246509552,-0.010470585195541383,968151.5875349045,989529.4148044586,3.460527052445845,1.2513904542019958,-0.009431192230642321,-0.008384998955270452,-11776.996308914062,-0.011776996308914062,988223.003691086,1.2530447674394247,-0.00943119223064232,-28315.498053278545,-0.028315498053278546,971684.5019467215,3.4479450406183694,-0.008384998955270452,3376923.2655038834,1248728.2647733688,0.5,0.5,False,1063222.096206665,2026461.4598503113,3089683.5560569763,138345.9979248047,122285.20555114746,260631.20347595215,3350314.7595329285,417495.3909702301,697352.8225507736,1114848.2135210037,65510.899017333984,57928.55130004883,123439.45031738281,1238287.6638383865
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-04,-4515.648412704468,-507.2719945907593,-0.004664195639240912,-0.0005126396315272766,963635.9391222,989022.1428098679,2.9101866588120155,1.0067753318178227,-0.0016177218045518127,-0.0005104899761460192,-1607.5241529389623,-0.0016266815758535682,986615.479538147,1.0092311712651165,-0.001617721804551813,-1424.9627123768437,-0.0014664870228165644,970259.5392343446,2.8903198995582184,-0.0005104899761460192,2791362.7670707703,993696.2884569168,0.5,0.5,False,951228.713602066,1853131.7403831482,2804360.4539852142,0.0,0.0,0.0,2804360.4539852142,370996.69799137115,624726.3980112076,995723.0960025787,0.0,0.0,0.0,995723.0960025787
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-05,20963.091237068176,5773.2834668159485,0.021754160867188056,0.005837365228662852,984599.0303592682,994795.4262766838,2.7040207209970037,1.0045708224225929,0.007860167623044768,0.005768349098676095,7866.891377108466,0.007973614381958719,994482.3709152555,1.0048870535505559,0.007860167623044766,15384.204795872487,0.015855762477751608,985643.744030217,2.701154647498476,0.005768349098676095,2667003.077085495,1000855.4212055206,0.5,0.5,False,873345.8679800034,1595139.2707252502,2468485.1387052536,68941.04125976562,124950.0,193891.04125976562,2662376.179965019,343606.7583785057,531060.5903291702,874667.3487076759,44290.61080932617,80384.5,124675.11080932617,999342.4595170021
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-08,4044.3112478256226,1606.4453020095825,0.00410757183698414,0.001614849907404761,988643.3416070938,996401.8715786934,2.7054169384644244,1.0089988476842715,0.001519060784219742,0.001607502299848245,1518.0619402579828,0.001526484515618773,996000.4328555135,1.0094055254283194,0.0015190607842197417,4279.775832354953,0.004342112308099576,989923.519862572,2.7019182682468452,0.001607502299848245,2662376.179965019,999342.4595170021,0.5,0.5,False,879186.9538135529,1598489.2478256226,2477676.2016391754,71280.24230957031,125735.99853515625,197016.24084472656,2674692.442483902,345920.1207232475,532764.6489887238,878684.7697119713,45793.41148376465,80890.15905761719,126683.57054138184,1005368.3402533531
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-09,-15037.802269935608,-4759.173956871033,-0.015210543213178211,-0.004776359913225198,973605.5393371582,991642.6976218224,3.014933936055691,1.1380585806457664,-0.005119280016044793,-0.004210572551944556,-5786.278191320787,-0.005809513731567005,990214.1546641927,1.1397004129333517,-0.005119280016044792,-12368.488787663611,-0.012494388242619683,977555.0310749083,3.0027530804600513,-0.004210572551944556,2937483.8303050995,1130291.4029288292,0.5,0.5,False,872137.0755243301,1604959.2948532104,2477096.3703775406,194744.2281074524,263515.7823944092,458260.0105018616,2935356.380879402,343447.729988575,534184.0021572113,877631.7321457863,104458.95481109619,146456.79400634766,250915.74881744385,1128547.4809632301
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-10,6765.838302612305,2037.85751247406,0.0069492602797007145,0.002055032036600775,980371.3776397705,993680.5551342964,2.4546879399458263,0.8850438944960075,0.0028086879373660873,0.0023201366998595024,2466.9692150912297,0.0024913491727734825,992681.1238792839,0.8859349565993753,0.002808687937366087,5588.968978136741,0.005717293452002568,983144.0000530451,2.447765329626767,0.0023201366998595024,2408896.4147996902,878335.1052536964,0.5,0.5,False,623776.3825845718,1319675.8394737244,1943452.2220582962,196807.57440185547,266246.00090026855,463053.575302124,2406505.79736042,225412.16821336746,400541.17715358734,625953.3453669548,105604.68211364746,147892.88092041016,253497.56303405762,879450.9084010124
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-11,-9770.23910331726,-2430.2051882743835,-0.009965855109763574,-0.0024456604043599705,970601.1385364532,991250.349946022,2.2080236381088647,0.760966770747497,-0.004560109119834847,-0.0032232025300275276,-3438.195626517249,-0.0034635448824504437,989242.9282527666,0.7625109629371173,-0.004560109119834847,-6905.856541855429,-0.007024257424632431,976238.1435111897,2.1952740438473772,-0.003223202530027528,2142545.023938179,753972.226577282,0.5,0.5,False,617992.2404356003,1322947.5825462341,1940939.8229818344,73146.43811035156,129023.99597167969,202170.43408203125,2143110.2570638657,223606.10677051544,400704.6998357773,624310.8066062927,46992.33378601074,83005.43740844727,129997.77119445801,754308.5778007507
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-12,14471.220798015594,4722.961546421051,0.014909544429173461,0.004764650571551614,985072.3593344688,995973.3114924431,2.8903067577887254,1.1289932658273256,0.005045360883157857,0.004183722923613053,5695.655729130553,0.0057575905437003295,994938.5839818972,1.1301674090459928,0.005045360883157857,11999.850870415838,0.012291929945757436,988237.9943816055,2.881048202236874,0.004183722923613053,2868223.132724285,1128889.6594381332,0.5,0.5,False,896583.443693161,1547536.1847572327,2444119.6284503937,200091.67047595978,202949.9981689453,403041.6686449051,2847161.2970952988,356405.35071611404,510860.1649465561,867265.5156626701,127417.94713401794,129763.69882202148,257181.64595603943,1124447.1616187096
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-16,-5975.773686408997,-2608.840536594391,-0.006066329675970533,-0.0026193879961352614,979096.5856480598,993364.4709558487,2.6369285012179793,0.997702322914648,-0.0022948379791478614,-0.0026085793106439673,-2295.067786702389,-0.002306743173550648,992643.5161951948,0.9984269518752821,-0.0022948379791478614,-6792.758244852437,-0.006873605632925535,981445.2361367531,2.63061819149819,-0.0026085793106439673,2604006.792944908,1000100.1410803795,0.5,0.5,False,762154.0840024948,1422974.964466095,2185129.04846859,194505.94805431366,202172.69561767578,396678.64367198944,2581807.692140579,289666.916642189,448268.2244129181,737935.1410551071,123861.25692176819,129285.64219665527,253146.89911842346,991082.0401735306
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,0,2023-01-01,2023-11-01,A,2024-01-17,-15798.242586135864,-5717.213945388794,-0.016135530260969172,-0.0057554040964314926,963298.343061924,987647.2570104599,2.269029465432162,0.7441788887106172,-0.007224432012006477,-0.007764335679455204,-5319.65967878591,-0.005359083691168587,987323.8565164089,0.7444226464388266,-0.007224432012006476,-16978.8930645851,-0.017299888408872244,964466.3430721681,2.266281597185742,-0.007764335679455204,2186779.8824710846,736342.9637022018,0.5,0.5,False,630271.9832324982,1363666.021533966,1993938.0047664642,120492.51819038391,71321.80145263672,191814.31964302063,2185752.324409485,206236.6619386673,407316.9464492798,613553.6083879471,76332.07885360718,45100.5509185791,121432.62977218628,734986.2381601334
