mechanism,A,B,recent_sh,recent_ret,recent_vol,recent_mdd,hist_sh,hist_ret,hist_vol,hist_mdd,joined_sh,joined_ret,rejected_entries
A,core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide3m_bd7,0.4326083802147875,0.0618310055813552,0.129606409213329,-0.1719648537838221,-0.9583444635648528,-0.0750207129836234,0.0781575331227447,-0.2879541254048448,-0.4192988900937798,-0.042021064021197,0
A,core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide1m_noscreen,0.6083512355270806,0.061504627799759,0.10704321891007,-0.119467479862014,-0.420876630050254,-0.0356466156312048,0.0788290506834742,-0.2724010177703487,-0.0793290577103043,-0.0106489508642302,0
A,core-2m/same_sector_slide3m_noscreen,core-2m/same_sector_slide1m_bd7,0.3135397338034488,0.0297876188443845,0.1044981346256285,-0.1470953743942089,-0.6934369077039986,-0.0489344686387401,0.0689026865453998,-0.2637235842383612,-0.3313295273575707,-0.0290169169779276,0
A,core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_noscreen,0.5279858547597066,0.0851579977712759,0.1506246920047992,-0.1674333380262632,-0.5458868913011131,-0.1508830815006319,0.2306092597983288,-0.5456352768110777,-0.3252237796493485,-0.0943780490789311,0
A,core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide3m_bd7,0.2727345801340358,0.042591928227989,0.1334877955403783,-0.1579066124195016,-0.5151865006781011,-0.1437705086947208,0.228350215878248,-0.5128428888640884,-0.3634022014506419,-0.0994880589811953,0
A,core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_noscreen,0.8341183094544782,0.1007059751686455,0.1175654552887985,-0.1232383580366448,-0.6550611537382803,-0.0485239045241447,0.0719585703514415,-0.246848469756851,-0.0925252026864319,-0.011154958479011,0
A,core-2m/same_sector_slide3m_noscreen,core-2m/cross_sector_slide1m_bd7,0.0756931207230678,0.0155264426656605,0.1136102395758585,-0.1561875245000425,-0.3877385803656652,-0.0305373340191288,0.0729675635342408,-0.1645865268343744,-0.2003862038442652,-0.0190946000775713,0
A,core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_noscreen,0.4787453447791213,0.0555683645308004,0.1173240568730719,-0.1447128927635126,-0.3442736973308258,-0.0358708817361961,0.0934255903367372,-0.2868890060419489,-0.0836300322243923,-0.0128846656128216,0
A,core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_bd7,0.2306004062687605,0.0359568750483706,0.1063067856250637,-0.1477285383601702,-0.1788251546245242,-0.0157399764941831,0.0735861957333105,-0.1842535947164223,-0.0251690960436301,-0.0038673133990099,0
A,core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.3993126027901454,0.0513137201252416,0.1171539976435746,-0.1728909109090449,-0.0576913737521389,-0.0066209993156383,0.0711138535587781,-0.2099418272909856,0.1187870888794657,0.0076351129307386,0
A,core-2m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_bd7,0.1799752933044233,0.0332552500306945,0.1048049734649087,-0.1527246303899705,-0.7273494914352746,-0.0463410712761128,0.0625279314272286,-0.2402671420090357,-0.353159169396924,-0.0270296948832782,0
A,core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_noscreen,-0.1396546105733062,-0.0212729141415689,0.128098194217416,-0.1971595992080596,-0.3211616779875055,-0.0397367533461812,0.1081698594901819,-0.2654586820003989,-0.2737000818823314,-0.0366277462474085,0
A,core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_bd7,-0.2969284749372623,-0.032022833007415,0.1237953476770225,-0.1825406248425511,-0.0947518086612008,-0.0086096612229212,0.0672895956441115,-0.1678353684251224,-0.1595020059709055,-0.0159894423645713,0
A,core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide1m_noscreen,0.2464214744003159,0.0322232790866362,0.1170708837510623,-0.1622759064202322,-0.5795942553377275,-0.0435753102526194,0.0723364889765485,-0.2336667094208516,-0.266444429828142,-0.0253663080132934,0
A,core-2m/same_sector_slide3m_noscreen,sp500-2m/cross_sector_slide1m_bd7,-0.1243679582258445,-0.0090482175961333,0.1164227874749745,-0.1803018504303233,-0.455776617639913,-0.0252133062884177,0.0529479327237227,-0.1715259278342011,-0.2831674933562215,-0.0222392203445524,0
A,core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide3m_noscreen,0.3691747944072278,0.040610462250377,0.1040124510179059,-0.1239585204866768,-0.8318535258778444,-0.0588133295770775,0.0699079716050553,-0.2587821910256254,-0.4038223851289918,-0.034285143309792,0
A,core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide3m_bd7,0.1518333967547472,0.0204386626394944,0.1157900509037327,-0.160543208368156,-0.7853050697060843,-0.0482139325941433,0.0605718926965147,-0.1996825346705409,-0.387861021335894,-0.0322937979622764,0
A,core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide1m_noscreen,0.06650756953469,0.0126066782640436,0.0984682960703676,-0.14235017152561,-0.9779510293223704,-0.0593230526144227,0.0606356171623066,-0.2711047575459621,-0.5726505425348645,-0.0419335882965661,0
A,core-2m/same_sector_slide3m_noscreen,core-12m/same_sector_slide1m_bd7,0.1188235416728132,0.0224134264435953,0.1126123383728823,-0.1611651753816268,-1.063005379043389,-0.056254465555021,0.05312391688781,-0.2385013745182442,-0.5207587315871289,-0.0377828792917374,0
A,core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide3m_noscreen,0.1604083165128199,0.0225441099113919,0.1357347244738548,-0.1890191396648798,-0.8447111668363184,-0.0711874518299996,0.0832929805993217,-0.3287395555657258,-0.4569156029845557,-0.048441513435205,0
A,core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide3m_bd7,-0.1344667858447501,-0.0130630314140154,0.1162563264699778,-0.1956435012502103,-0.5046029132377973,-0.033726083333332,0.0639182077184747,-0.1558695828171622,-0.3387506376025705,-0.0294617628193587,0
A,core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide1m_noscreen,0.3779286833646665,0.0455087975927076,0.1214001580981106,-0.1348269943334848,-0.7517447943530444,-0.0557011165342067,0.0727016570570233,-0.2768429145205663,-0.3172239400642933,-0.0307381176489998,0
A,core-2m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide1m_bd7,0.1872318408189809,0.0188986374770766,0.0963064713052879,-0.1247678212313569,-0.8558607553115715,-0.0490011100060733,0.0568020627064616,-0.2193180400632084,-0.4428535016050525,-0.0318955220225886,0
A,core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide3m_noscreen,0.2038675953670086,0.024828257701108,0.1323874822997487,-0.1673872748158256,0.1401719910368885,0.0085248434115743,0.0885919084231324,-0.1501047608962989,0.1672539804444294,0.0125375293423538,0
A,core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide3m_bd7,0.3465552217984811,0.0458725843875665,0.1219606390242176,-0.1521358227274324,-0.2097916898323444,-0.0168743012698473,0.0695447819962664,-0.1574011847538016,0.004728905083,-0.0022719149519611,0
A,core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide1m_noscreen,0.8982867892555281,0.1081127687807054,0.1192859398708016,-0.1093761947541736,-0.1428617542998103,-0.0126727103121335,0.0713766054945663,-0.1277114071615391,0.2417188807812791,0.0176383453627633,0
A,core-2m/same_sector_slide3m_noscreen,sp500-12m/same_sector_slide1m_bd7,0.2528797982857456,0.0368359190966851,0.118445391376238,-0.1644530065061946,-0.4009713458478117,-0.0246507015953649,0.0580248646828621,-0.1412994662822619,-0.1105918130896235,-0.0100842802747829,0
A,core-2m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide3m_noscreen,0.7566348886504279,0.0944003956895693,0.117331661640141,-0.1136448054638106,-0.3062386401600972,-0.0308962499531659,0.0894075581420863,-0.2056421802166336,0.037815640052332,-0.0002482427370586,0
A,core-2m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide3m_bd7,1.1754944160844845,0.1228143473314552,0.1014740869939873,-0.083468177385962,0.2945209860945442,0.0225563629848084,0.0902838469261331,-0.161266283512302,0.5324831609398905,0.0469818445575539,0
A,core-2m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide1m_noscreen,1.2247525554511822,0.1173418793211543,0.0942218680902682,-0.0649115376403017,0.3798480053902751,0.0252033483018665,0.0724638982210168,-0.1465343609629166,0.6402190180014214,0.0485670132013869,0
A,core-2m/same_sector_slide3m_noscreen,sp500-12m/cross_sector_slide1m_bd7,0.7012571415175659,0.0726013975878618,0.0956518784419986,-0.0834094218657319,0.3193694003701958,0.0182876735094317,0.0630033596263778,-0.1217759102543309,0.4527048688543819,0.0316639358149179,0
A,core-2m/same_sector_slide3m_bd7,core-2m/same_sector_slide1m_noscreen,0.774339256745394,0.0655802719714448,0.0826250526267541,-0.0786884164938259,-0.6547894086269601,-0.0407068706385044,0.0606454996826822,-0.2497416828102135,-0.1727470242235949,-0.0134361125112896,0
A,core-2m/same_sector_slide3m_bd7,core-2m/same_sector_slide1m_bd7,0.8699224761257254,0.0676358245913249,0.0746140276407764,-0.0840866602519506,-0.7065687156124475,-0.0366808942498715,0.0510354415904834,-0.1825531179955405,-0.18251417462913,-0.0117480652966335,0
A,core-2m/same_sector_slide3m_bd7,core-2m/cross_sector_slide3m_noscreen,0.1467042615792113,0.0235338401084529,0.1218534174159825,-0.1800291094139096,-0.4988956867111126,-0.1415015386335838,0.2300270481202812,-0.5174483219699957,-0.3748958208929535,-0.1014633494329498,0
A,core-2m/same_sector_slide3m_bd7,core-2m/cross_sector_slide3m_bd7,0.0556035228029744,0.0113421326693383,0.1189237161925464,-0.1420060866269715,-0.3817962563067773,-0.132476731464437,0.2517555950315064,-0.464270688878882,-0.2997220392537973,-0.0974568171206972,0
A,core-2m/same_sector_slide3m_bd7,core-2m/cross_sector_slide1m_noscreen,0.9382748446354844,0.0890689776702495,0.0956986350157689,-0.1216628599356451,-0.8838657920178611,-0.0630118167285287,0.0707337718604386,-0.2969986554741135,-0.2854251452801272,-0.0251120185400326,0
A,core-2m/same_sector_slide3m_bd7,core-2m/cross_sector_slide1m_bd7,0.094713493630043,0.00683440965693,0.0893281125681118,-0.112968013128168,-0.3663195949387819,-0.0358406022521446,0.0881689825892776,-0.18772097692676,-0.2466349078616729,-0.0254548658614372,0
A,core-2m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide3m_noscreen,0.5422660519079812,0.0517048856613381,0.0952964572998158,-0.1387336842218682,-0.1142639932268049,-0.013111427313349,0.0845011537161917,-0.2361928999836,0.077678031692619,0.0032854135114281,0
A,core-2m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide3m_bd7,0.458631540594377,0.0432699855905609,0.0805983351649125,-0.088842859340234,0.0247906510050098,-0.0004788951796372,0.0646587903364795,-0.139062036677328,0.1692593673295734,0.0103049701353653,0
A,core-2m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.3689968219867249,0.0293364728384093,0.0840988188230333,-0.1375825509537295,-0.0478821228890646,-0.0042534422258249,0.0561259174328958,-0.1562994104420333,0.0949735433868699,0.0041467694424888,0
A,core-2m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide1m_bd7,0.1177461799857836,0.0123250212056034,0.0688951803724171,-0.1122836730960585,-0.3864352476696296,-0.0178533053244974,0.0440971647774844,-0.1306103891724278,-0.1850418264687492,-0.0101099602086129,0
A,core-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide3m_noscreen,-0.2238769835151817,-0.0240019542827256,0.1016887517226965,-0.1622765302410193,-0.0872713062901514,-0.0149441293743051,0.1073601253960585,-0.169477843440973,-0.123797410322276,-0.0182230901311979,0
A,core-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide3m_bd7,-0.3294721281508033,-0.0263378331020975,0.092251394519918,-0.1436228956241545,0.5773206343545815,0.0456559243744494,0.0832614992423632,-0.0999333927918034,0.3154741234589984,0.0241178840953555,0
A,core-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide1m_noscreen,0.2682192376746685,0.0220224273988465,0.0803665862708362,-0.10006319493437,-0.5799312725952211,-0.0367604525861174,0.0613463832850122,-0.2119829602562544,-0.3069961725589601,-0.0221857857549659,0
A,core-2m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide1m_bd7,-0.0384246779075486,-0.0004659895998724,0.077396326468434,-0.115194862133362,-0.0540588687013955,-0.00325562111887,0.0431474830261606,-0.1183899525047351,-0.0396281921060113,-0.0029987097788535,0
