fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,0.12940164564718476,20,20
1,2015-04-01,2015-06-30,-0.08882886759922173,5,20
2,2015-07-01,2015-09-30,-0.014310352194538661,11,20
3,2015-10-01,2015-12-31,0.23229321136701347,13,20
4,2016-01-01,2016-03-31,0.24139480028195062,9,20
5,2016-04-01,2016-06-30,0.09053530668473672,17,20
6,2016-07-01,2016-09-30,-0.07683946096230294,11,20
7,2016-10-01,2016-12-31,-0.05681421522290895,14,20
8,2017-01-01,2017-03-31,0.026776233616809742,15,20
9,2017-04-01,2017-06-30,0.1644213950026821,12,20
10,2017-07-01,2017-09-30,0.19644669893559757,12,20
11,2017-10-01,2017-12-31,0.20598591062058463,13,20
12,2018-01-01,2018-03-31,-0.0692997283597742,16,20
13,2018-04-01,2018-06-30,-0.047351059145225693,10,20
14,2018-07-01,2018-09-30,0.10344054361920298,14,20
15,2018-10-01,2018-12-31,-0.1920717639790102,8,20
16,2019-01-01,2019-03-31,0.07922307437508701,9,20
17,2019-04-01,2019-06-30,-0.17864025911676862,18,20
18,2019-07-01,2019-09-30,0.13892437177803416,15,20
19,2019-10-01,2019-12-31,-0.08393947912575259,9,20
