param,mech,recent,hist,joined,score_rank,rank_avg_rank,joined_rank
clean_s0.50_b0.00_1.00,A,1.148,1.139,1.139,1,1,1
clean_s0.50_b0.00_1.00,B,1.217,1.115,1.14,1,1,1
clean_s0.40_b0.10_0.90,A,1.094,1.122,1.111,1,1,1
clean_s0.40_b0.10_0.90,B,1.141,1.096,1.106,1,1,1
clean_s0.30_b0.20_0.80,A,1.019,1.091,1.066,1,7,1
clean_s0.30_b0.20_0.80,B,1.041,1.062,1.052,1,1,1
clean_s0.25_b0.25_0.75,A,0.974,1.068,1.036,1,7,1
clean_s0.25_b0.25_0.75,B,0.982,1.037,1.016,1,5,1
