param,mech,recent,hist,joined,score_rank,rank_avg_rank,joined_rank
b0.20_0.80,A,0.922,1.073,1.025,1,9,1
b0.20_0.80,B,0.939,1.034,1.003,1,5,1
b0.15_0.85,A,0.923,1.098,1.045,1,12,1
b0.15_0.85,B,0.95,1.062,1.027,1,6,1
b0.10_0.90,A,0.919,1.118,1.06,1,10,1
b0.10_0.90,B,0.957,1.084,1.046,1,5,1
step0.25_b0.20_0.80,A,0.972,1.083,1.047,1,7,1
step0.25_b0.20_0.80,B,0.991,1.05,1.029,1,1,1
