param,mech,recent,hist,joined,score_rank,rank_avg_rank,joined_rank
final_lb84_s0.30_b0.15_0.85,A,1.013,1.102,1.074,1,4,1
final_lb84_s0.30_b0.15_0.85,B,1.046,1.071,1.06,1,1,1
