pair,mech,recent_default,hist_default,recent_step5,hist_step5,recent_step15,hist_step15,recent_bd20_80,hist_bd20_80,recent_bd35_65,hist_bd35_65,recent_static,hist_static
sp500-12m/cross_sector_slide1m_noscreen + sp500-12m/same_sector_slide3m_noscreen,A,1.0625028089580437,0.5764584913549876,1.1272494249708143,0.44928720684084655,1.0915662473479655,0.6972558518653934,1.0199376986213482,0.5586848256266591,1.1852538792612113,0.6382216560753902,1.593551720779421,0.4592060326779489
sp500-12m/cross_sector_slide1m_noscreen + sp500-12m/same_sector_slide3m_noscreen,B,1.043769410273801,0.5291739512848872,1.0899127127575439,0.4009272618049626,1.0832722150817466,0.6529094742090377,1.0068177037609825,0.5091520609739891,1.1562169112345269,0.59652034411725,1.5046952825752498,0.42197340927599863
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_bd7,A,0.8257055440340005,1.1388109709584442,0.7823268279245519,1.1097562871276572,0.8630162914761469,1.1383342222878612,0.8289525347673405,1.1744166325155452,0.8077535443965431,1.0468965550708547,1.3256853225022973,0.9216318496383417
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_bd7,B,0.817351770015847,1.093506434607573,0.7530863949923261,1.0632110028546544,0.8661801179080754,1.095637204946688,0.8237895733266006,1.1281183803070405,0.7846779677383344,1.0054116370992672,1.1166480772647298,0.8998246289718479
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_noscreen,A,0.9068027821670771,0.6682728792055485,0.8413032329575747,0.7201557020461545,0.8990931854418445,0.6234990121854879,0.8701264955033549,0.6878218992037911,0.9313510478765031,0.6616001018540698,1.329307814560886,0.6803095641974467
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_noscreen,B,0.9043467110757251,0.6454460008693298,0.8247855932754349,0.6926215696486852,0.9023113804310284,0.5928707414873433,0.8726994255941151,0.668224850157886,0.9128254192887713,0.6333751616224558,1.2084785602398944,0.6723557998590648
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/same_sector_slide1m_noscreen,A,1.0940201161893321,0.4905770314007462,1.0540274943965773,0.4656147428003578,1.0947908306113259,0.5341248439328503,1.0535721412675272,0.46196972770824113,1.1176183608124548,0.5127405426578617,1.372362345212181,0.446777655853716
sp500-12m/cross_sector_slide1m_noscreen + sp500-2m/same_sector_slide1m_noscreen,B,0.9150374566410476,0.5355097689181877,0.8582440438430597,0.4958634205505165,0.9241466098185002,0.5883381273901331,0.8872701174767617,0.5038115886017908,0.9088225229022646,0.5587973869514015,1.1686621439648044,0.4522067407169783
sp500-12m/same_sector_slide1m_noscreen + sp500-12m/same_sector_slide3m_noscreen,A,1.137285956705023,0.5573072343858508,1.1556517965306141,0.4884739119118307,1.1070339445440769,0.5572628375884243,1.1487440686584083,0.5786815770553855,1.107301264338914,0.4793416669588126,1.3615956463222534,0.3674712354491747
sp500-12m/same_sector_slide1m_noscreen + sp500-12m/same_sector_slide3m_noscreen,B,1.0805752505787898,0.5976371199061475,1.1034535342664042,0.5307434514739373,1.0466329191226806,0.5950080348341258,1.090554264228616,0.6227489414992257,1.0539740431487712,0.5119222667847744,1.2651879661679164,0.3889350631016514
sp500-12m/same_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_bd7,A,0.8678914239046333,0.8064236341614045,0.8634543567255148,0.8112036497721289,0.8103334069023458,0.7989006249207191,0.9224080482910764,0.8170255118888096,0.7454082167855807,0.8095355742953668,1.3115750184114878,0.8993238084244384
sp500-12m/same_sector_slide1m_noscreen + sp500-2m/cross_sector_slide3m_bd7,B,0.826619996859741,0.8657686896281693,0.8254560665547239,0.8733533289151945,0.7668019162851534,0.8580184973304454,0.8795360343400231,0.880139349198671,0.7074308475835642,0.8619878584829603,1.2245210680389973,0.9143245459435687
