param,mech,recent,hist,joined,score_rank,rank_avg_rank,joined_rank
b0.25_0.75,A,0.925,1.059,1.015,1,10,1
b0.25_0.75,B,0.93,1.024,0.991,1,6,1
b0.20_0.80,A,0.922,1.073,1.025,1,9,1
b0.20_0.80,B,0.939,1.034,1.003,1,5,1
b0.30_0.70,A,0.924,1.039,0.999,1,15,1
b0.30_0.70,B,0.917,1.007,0.974,1,8,1
b0.35_0.65,A,0.886,0.994,0.955,1,18,1
b0.35_0.65,B,0.864,0.962,0.925,1,15,1
