fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,-0.13295005463569376,19,20
1,2015-02-01,2015-04-30,-0.043428062685254135,6,20
2,2015-03-01,2015-05-31,0.028782994149539134,15,20
3,2015-04-01,2015-06-30,0.06583031112098113,10,20
4,2015-05-01,2015-07-31,0.10440881524822054,17,20
5,2015-06-01,2015-08-31,-0.0073464644906178185,24,20
6,2015-07-01,2015-09-30,-0.05088076462057961,21,20
7,2015-08-01,2015-10-31,0.053873694572480424,20,20
8,2015-09-01,2015-11-30,0.0038148166383472366,24,20
9,2015-10-01,2015-12-31,0.03449653902485485,16,20
10,2015-11-01,2016-01-31,0.006548351929400003,20,20
11,2015-12-01,2016-02-29,-0.03386997108706538,17,20
12,2016-01-01,2016-03-31,-0.235938080610496,13,20
13,2016-02-01,2016-04-30,0.1253458424276791,12,20
14,2016-03-01,2016-05-31,0.270426241230262,26,20
15,2016-04-01,2016-06-30,-0.06124065685495231,27,20
16,2016-05-01,2016-07-31,0.1155001467846771,24,20
17,2016-06-01,2016-08-31,0.019175579140836965,24,20
18,2016-07-01,2016-09-30,-0.06695388110837923,22,20
19,2016-08-01,2016-10-31,0.030715753502734887,14,20
20,2016-09-01,2016-11-30,-0.17983297749341204,18,20
21,2016-10-01,2016-12-31,0.08098421977119923,20,20
22,2016-11-01,2017-01-31,-0.128806796907152,21,20
23,2016-12-01,2017-02-28,0.012496576274115411,8,20
24,2017-01-01,2017-03-31,-0.1302356525258508,15,20
25,2017-02-01,2017-04-30,0.16463347540252085,8,20
26,2017-03-01,2017-05-31,0.09540606704147404,7,20
27,2017-04-01,2017-06-30,0.25732781394656623,13,20
28,2017-05-01,2017-07-31,-0.16450189602826307,17,20
29,2017-06-01,2017-08-31,-0.0096850000247661,20,20
30,2017-07-01,2017-09-30,-0.006070614553097012,13,20
31,2017-08-01,2017-10-31,0.0972419312692672,9,20
32,2017-09-01,2017-11-30,-0.0914738904319071,15,20
33,2017-10-01,2017-12-31,0.11771112455912452,16,20
34,2017-11-01,2018-01-31,-0.025467275927095336,21,20
35,2017-12-01,2018-02-28,0.027084487995644602,12,20
36,2018-01-01,2018-03-31,0.17484520173644652,14,20
37,2018-02-01,2018-04-30,0.053616068222915,10,20
38,2018-03-01,2018-05-31,0.1490463970193222,16,20
39,2018-04-01,2018-06-30,0.21409081892704682,16,20
40,2018-05-01,2018-07-31,0.20174585609349582,20,20
41,2018-06-01,2018-08-31,-0.13991628553927654,17,20
42,2018-07-01,2018-09-30,-0.03467904226376623,11,20
43,2018-08-01,2018-10-31,-0.049010366082432213,11,20
44,2018-09-01,2018-11-30,-0.026952357201831506,9,20
45,2018-10-01,2018-12-31,0.037068989308650734,19,20
46,2018-11-01,2019-01-31,0.07304945593294968,18,20
47,2018-12-01,2019-02-28,0.0969798361664759,19,20
48,2019-01-01,2019-03-31,-0.10620996787659978,14,20
49,2019-02-01,2019-04-30,0.08140446144248142,15,20
50,2019-03-01,2019-05-31,0.051030888327916864,16,20
51,2019-04-01,2019-06-30,0.10571120490479498,14,20
52,2019-05-01,2019-07-31,0.11397538892182661,15,20
53,2019-06-01,2019-08-31,-0.05986620920261625,14,20
54,2019-07-01,2019-09-30,0.20625252572574615,9,20
55,2019-08-01,2019-10-31,0.13441344504136996,11,20
56,2019-09-01,2019-11-30,0.19692730826063773,14,20
57,2019-10-01,2019-12-31,-0.19361672552482517,8,20
