profile,profile_start,profile_end,mode,broker_leverage,entry_opportunities_total,sizing_attempts,orders_submitted,dynamic_sizing_valid_count,current_cash_negative_count,current_cash_mean,current_cash_min,current_cash_max,cash_minus_equity_mean,cash_minus_equity_min,cash_minus_equity_max,current_equity_mean,current_equity_min,current_equity_max,current_gross_exposure_mean,current_gross_exposure_min,current_gross_exposure_max,current_initial_margin_mean,current_initial_margin_min,current_initial_margin_max,fully_funded_free_capacity_min,fully_funded_free_capacity_max,free_margin_min,free_margin_max,fully_funded_fit_count,fully_funded_conflict_count,fully_funded_conflict_rate,margin_fit_count,margin_conflict_count,margin_conflict_rate,sequential_funded_admitted_count,sequential_funded_conflict_count,sequential_margin_admitted_count,sequential_margin_conflict_count,conflict_first_date,conflict_last_date,equity_ratio_median,equity_ratio_mean,equity_ratio_p5,equity_ratio_p95,equity_ratio_min,equity_ratio_max,naive_dynamic_budget_ratio_median,naive_dynamic_budget_ratio_mean,naive_dynamic_budget_ratio_p5,naive_dynamic_budget_ratio_p95,naive_dynamic_budget_ratio_min,naive_dynamic_budget_ratio_max,budget_delta_median,budget_delta_mean,budget_delta_p5,budget_delta_p95,budget_delta_min,budget_delta_max,fully_funded_excess_p50,fully_funded_excess_p95,fully_funded_excess_max,margin_excess_p50,margin_excess_p95,margin_excess_max,same_day_multiple_group_count,same_day_multiple_opportunity_count,max_same_day_opportunities,same_day_preentry_state_consistent
selected_leg_a_recent,2023-01-01,2026-01-01,reference_leg,100.0,785,554,554,554,0,1533061.3123265458,860341.8015460972,4641499.636793422,516534.66102721804,-16428.76414306648,3718729.2966502183,1016526.6512993277,810838.1663150792,1185898.9686107645,1066210.9467800267,0.0,5608720.9079704285,533105.4733900133,0.0,2804360.4539852142,-4685950.567827226,1184424.8381176004,-1881590.113842011,1184424.8381176004,171,383,0.6913357400722022,408,146,0.26353790613718414,134,420,373,181,2024-01-04,2025-12-16,1.003889275856018,1.0165266512993276,0.9447186926975236,1.1335055689105988,0.8108381663150792,1.1858989686107644,1.003889275856018,1.0165266512993276,0.9447186926975236,1.1335055689105988,0.8108381663150792,1.1858989686107644,972.318964004502,4131.662824831917,-13820.326825619093,33376.39222764969,-47290.4584212302,46474.74215269112,804829.4775810244,2121791.908337402,5145565.0569171915,192339.8769135477,821863.8717174523,2111397.358386994,110,271,9,True
selected_leg_a_recent,2023-01-01,2026-01-01,gross_exposure,100.0,785,554,554,554,0,1279683.2465109003,931847.5987672806,2229771.451846924,270952.96067373984,-8994.088537750067,1253859.7858866125,1008730.2858371605,903460.1950273514,1100754.0574102402,566300.0995810549,0.0,1991446.1920051572,283150.04979052744,0.0,995723.0960025789,-1015534.5260448456,1087659.1630849838,-19811.430042267195,1087659.1630849838,395,159,0.2870036101083033,552,2,0.0036101083032490976,339,215,546,8,2024-01-04,2025-11-12,1.0017209951705932,1.0087302858371605,0.9702818652191164,1.0669611372301102,0.9034601950273514,1.1007540574102401,1.0017209951705932,1.0087302858371605,0.9702818652191164,1.0669611372301102,0.9034601950273514,1.1007540574102401,430.24879264831543,2182.5714592901286,-7429.533695220889,16740.284307527585,-24134.951243162155,25188.514352560043,252436.47006988525,773820.803479861,1259343.8818645477,134876.30869722407,141032.12802662884,141716.10795211827,110,271,9,True
selected_leg_b_recent,2023-11-01,2026-01-01,reference_leg,100.0,340,110,110,110,0,1424692.3558951302,949686.9484939576,3143572.4650905617,423020.2047986648,0.0,2145677.2706363676,1001672.1510964654,943824.1043777463,1064857.3574199677,840927.1943161271,0.0,4661704.815271378,420463.59715806355,0.0,2330852.407635689,-3663809.6208171835,1064857.3574199677,-1332957.2131814947,1064857.3574199677,64,46,0.41818181818181815,85,25,0.22727272727272727,50,60,79,31,2024-01-22,2025-10-07,1.0,1.0016721510964655,0.9498711326490403,1.0598166385173797,0.9438241043777463,1.0648573574199676,1.0,1.0016721510964655,0.9498711326490403,1.0598166385173797,0.9438241043777463,1.0648573574199676,0.0,418.03777411637185,-12532.216837739916,14954.15962934494,-14043.973905563413,16214.339354991913,1135456.504175186,3086499.3979468346,4195741.864316939,458786.7141790383,1070733.5103927606,1598923.3349313727,23,61,6,True
selected_leg_b_recent,2023-11-01,2026-01-01,gross_exposure,100.0,340,110,110,110,0,1228622.4243455483,967228.0815811156,1944514.438419724,224908.1368878654,0.0,929231.3970932009,1003714.2874576829,962947.5858230592,1042842.429363251,436639.7055185665,0.0,1988456.3350982664,218319.85275928324,0.0,994228.1675491332,-973173.2937717432,1042842.429363251,21054.873777389992,1042842.429363251,84,26,0.23636363636363636,109,1,0.00909090909090909,79,31,106,4,2024-07-11,2025-06-25,1.0,1.0037142874576828,0.9677003601413727,1.0396894351768495,0.9629475858230592,1.042842429363251,1.0,1.0037142874576828,0.9677003601413727,1.0396894351768495,0.9629475858230592,1.042842429363251,0.0,928.5718644207378,-8074.909964656833,9922.3587942124,-9263.1035442352,10710.607340812741,461629.61925888015,748663.5878629682,1226739.1775913234,105728.06813240005,105728.06813240005,105728.06813240005,23,61,6,True
contrast_12m_slide3_recent,2023-01-01,2026-01-01,reference_leg,100.0,273,203,203,203,0,1606772.0660288446,963150.4770286548,4641499.636793422,587321.7811222835,-16428.76414306648,3718729.2966502183,1019450.284906561,922770.3401432032,1185898.9686107645,1193291.8587399235,0.0,5608720.9079704285,596645.9293699617,0.0,2804360.4539852142,-4685950.567827226,1184424.8381176004,-1881590.113842011,1184424.8381176004,48,155,0.7635467980295566,141,62,0.3054187192118227,36,167,123,80,2024-01-04,2025-12-16,1.0032856270332338,1.019450284906561,0.939777229378128,1.1335055689105988,0.9227703401432031,1.1858989686107644,1.0032856270332338,1.019450284906561,0.939777229378128,1.1335055689105988,0.9227703401432031,1.1858989686107644,821.4067583084397,4862.571226640259,-15055.692655467996,33376.39222764969,-19307.41496419921,46474.74215269112,815931.2591896057,2378959.614257239,5145565.0569171915,223270.43467593205,1044539.3865698811,2111397.358386994,40,100,9,True
contrast_12m_slide3_recent,2023-01-01,2026-01-01,gross_exposure,100.0,273,203,203,203,0,1302736.4650919002,986119.1603002548,2229771.451846924,292870.4160485409,-8994.088537750067,1253859.7858866125,1009866.0490433595,956545.7398300172,1082433.253452301,612029.5620768645,0.0,1991446.1920051572,306014.78103843227,0.0,995723.0960025789,-1015534.5260448456,1081149.9700584412,-19811.430042267195,1081149.9700584412,139,64,0.31527093596059114,202,1,0.0049261083743842365,114,89,200,3,2024-01-04,2025-11-12,1.0011209513854975,1.0098660490433593,0.9734202688810346,1.0647115520477293,0.9565457398300172,1.0824332534523011,1.0011209513854975,1.0098660490433593,0.9734202688810346,1.0647115520477293,0.9565457398300172,1.0824332534523011,280.2378463743953,2466.5122608398447,-6644.932779741344,16177.888011932315,-10863.565042495698,20608.313363075256,255441.5487737658,752697.9710253717,1259343.8818645477,141716.10795211827,141716.10795211827,141716.10795211827,40,100,9,True
contrast_2m_slide1_recent,2023-01-01,2026-01-01,reference_leg,100.0,1205,778,778,778,0,1498738.152426336,847860.236466408,3702825.135944368,497547.466296901,-21074.223706817487,2684994.5251674657,1001190.6861294352,834012.6106595997,1144989.527126313,1007181.319073731,0.0,6041722.777231216,503590.6595368655,0.0,3020861.388615608,-5023892.166454314,1140280.2964248664,-2003030.777838706,1140280.2964248664,295,483,0.6208226221079691,607,171,0.21979434447300772,227,551,545,233,2023-03-13,2025-11-07,1.0,1.0011906861294353,0.9191639371047025,1.0802029579658508,0.8340126106595996,1.1449895271263129,1.0,1.0011906861294353,0.9191639371047025,1.0802029579658508,0.8340126106595996,1.1449895271263129,0.0,297.67153235880915,-20209.015723824406,20050.739491462708,-41496.84733510009,36247.38178157824,701588.3919448853,2750679.6650884626,5566578.417201995,293901.1547536856,1089819.6048727033,2274373.9032125464,163,425,7,True
contrast_2m_slide1_recent,2023-01-01,2026-01-01,gross_exposure,100.0,1205,778,778,778,0,1283659.6416500837,909171.0928850174,2376436.2813624577,284075.34219524014,-15299.714892349206,1404650.024278564,999584.2994548435,904046.6544427868,1080438.6975994108,571570.6553230825,0.0,2763198.877811432,285785.32766154123,0.0,1381599.438905716,-1825693.7170104983,1070028.2073440552,-444094.27810478234,1070028.2073440552,551,227,0.2917737789203085,757,21,0.02699228791773779,470,308,734,44,2023-04-26,2025-11-03,1.0,0.9995842994548433,0.9430150614471434,1.0461243322884557,0.9040466544427869,1.0804386975994107,1.0,0.9995842994548433,0.9430150614471434,1.0461243322884557,0.9040466544427869,1.0804386975994107,0.0,-103.92513628913345,-14246.23463821414,11531.083072113945,-23988.336389303295,20109.674399852694,290190.5519218445,1263497.1065849299,2059132.0130767825,126036.17239761376,474190.07372093224,560813.4261379244,163,425,7,True
