profile,mode,annualized_return,sharpe,volatility,max_drawdown,trade_count,win_rate,average_gross_utilization,median_gross_utilization,gross_utilization_p95,gross_utilization_p99,peak_gross_utilization,average_margin_utilization,margin_utilization_p95,peak_margin_utilization,budget_basis,mean_budget_ratio,median_budget_ratio,gross_entry_p95_ratio,gross_entry_peak_ratio,mean_gross_entry_exposure,mean_pair_gross_budget,mean_abs_budget_error,median_abs_budget_error,p95_abs_budget_error,max_abs_budget_error,mean_abs_hedge_ratio_error,median_abs_hedge_ratio_error,p95_abs_hedge_ratio_error,max_abs_hedge_ratio_error,mean_abs_sizing_budget_error,median_abs_sizing_budget_error,p95_abs_sizing_budget_error,max_abs_sizing_budget_error,sizing_budget_rounding_violation_count,max_sizing_budget_rounding_excess,gross_budget_overrun_count,max_gross_budget_overrun,sizing_budget_invariant_status,exact_trade_match_count,v1_only_trade_count,v2_only_trade_count,changed_exit_reason_count,entry_keys_match,selected_pair_keys_match,decision_status,public_reference_status
selected_leg_a_recent,reference_leg,0.141933,1.36499,0.12065565639181638,-0.15227967715449087,548,0.5456204379562044,1.02291431,0.95467178,2.00482834,2.39789828,2.68140785,0.51145716,1.00241417,1.34070393,sizing_budget_reference_leg,1.8713536702640907,1.8101101273193358,2.7310283092620846,4.053925498046875,467838.4175660227,250000.0,,,,,0.0004055905163959978,0.0002275839821627712,0.001423991620958842,0.008548602957817952,,,,,0,,0,,not_applicable,548,0,0,0,True,True,unchanged,match
selected_leg_a_recent,gross_exposure,0.070161,1.18048,0.05995299711681026,-0.07401532533802369,548,0.5456204379562044,0.55562486,0.50692709,1.08695093,1.40020906,1.63901436,0.27781243,0.54347547,0.81950718,pair_gross_budget,0.998940285680778,0.9992953513031005,0.9998155460571291,0.9999700723495484,249735.07142019446,250000.0,264.9285798055408,176.16217422486807,765.6233558654678,1940.5467224121094,0.0007446683395426806,0.00038747624484852805,0.003005971299142767,0.006553712049689686,264.9285798055408,176.16217422486807,765.6233558654678,1940.5467224121094,0,0.0,0,0.0,pass,548,0,0,0,True,True,unchanged,match
selected_leg_b_recent,reference_leg,-0.0377,-0.324423,0.10261494536915365,-0.11313857092163504,108,0.4444444444444444,0.47910068,0.0,2.22939582,3.1322157,4.67153749,0.23955034,1.11469791,2.33576875,sizing_budget_reference_leg,1.7414126820810456,1.6395225516815186,2.437807407600403,3.4177652760620116,435353.17052026145,250000.0,,,,,0.0004535008437533631,0.00033087570434719993,0.0016745757652415687,0.002374438479296914,,,,,0,,0,,not_applicable,108,0,0,0,True,True,unchanged,match
selected_leg_b_recent,gross_exposure,-0.004577,-0.045327,0.060948842646455545,-0.05411910337731418,108,0.4444444444444444,0.26878196,0.0,1.19979681,1.48657112,1.95852413,0.13439098,0.5998984,0.97926206,pair_gross_budget,0.9990510532881066,0.9992983880767822,0.9998700815990448,0.9999900954589844,249762.76332202664,250000.0,237.23667797335872,175.4029808044579,624.886515045166,1080.459014892549,0.0007136687741877483,0.0004279351810853038,0.002058397647151382,0.0028719387262936547,237.23667797335872,175.4029808044579,624.886515045166,1080.459014892549,0,0.0,0,0.0,pass,108,0,0,0,True,True,unchanged,match
contrast_12m_slide3_recent,reference_leg,0.149198,0.969669,0.1558739341533328,-0.09533100463929778,200,0.535,1.15730827,1.00163056,2.85915782,5.0440237,6.63163367,0.57865414,1.42957891,3.31581684,sizing_budget_reference_leg,1.9635323557979394,1.8655236552810668,3.3954645625267017,4.053925498046875,490883.0889494848,250000.0,,,,,0.00040488793088923504,0.00020892047225484767,0.0014011805071808933,0.0037724385675932393,,,,,0,,0,,not_applicable,200,0,0,0,True,True,unchanged,not_applicable
contrast_12m_slide3_recent,gross_exposure,0.061665,0.800213,0.07861498713060294,-0.048784344740191,200,0.535,0.5999014,0.50833572,1.45888618,1.78885827,2.2823591,0.2999507,0.72944309,1.14117955,pair_gross_budget,0.9989758196571923,0.9993511019592285,0.9998390300582887,0.9999584491577148,249743.95491429805,250000.0,256.04508570194145,162.22451019285654,733.6826873779296,1940.5467224121094,0.0007968469052976644,0.0003768455184423175,0.003278568232006368,0.006553712049689686,256.04508570194145,162.22451019285654,733.6826873779296,1940.5467224121094,0,0.0,0,0.0,pass,200,0,0,0,True,True,unchanged,not_applicable
contrast_2m_slide1_recent,reference_leg,-0.021166,-0.15709,0.1045394933971057,-0.17161419289720115,773,0.4721862871927555,0.98589723,0.92551173,2.00919663,2.54246165,2.81035776,0.49294862,1.00459831,1.40517888,sizing_budget_reference_leg,1.7350352520243113,1.6389105266418458,2.607480015344238,4.300483769683839,433758.81300607783,250000.0,,,,,0.00044051382259621593,0.00022299753358934193,0.0014830464222168934,0.020982894786480744,,,,,0,,0,,not_applicable,773,0,0,0,True,True,unchanged,not_applicable
contrast_2m_slide1_recent,gross_exposure,-0.017845,-0.254601,0.06310083342279488,-0.11927296830115541,773,0.4721862871927555,0.56316747,0.51358014,1.12528096,1.39698946,1.58265274,0.28158373,0.56264048,0.79132637,pair_gross_budget,0.9990020385146196,0.9993239289550783,0.9998862799591065,0.9999900954589844,249750.50962865492,250000.0,249.49037134508467,169.01776123043965,626.0278076172224,6676.752902984648,0.0007807544893268564,0.00038682935830569587,0.002176356881092566,0.04637685003177239,249.49037134508467,169.01776123043965,626.0278076172224,6676.752902984648,0,0.0,0,0.0,pass,773,0,0,0,True,True,unchanged,not_applicable
