date,pair,mark_pnl,target_notional,fold_id
2024-02-01,FIS-MTB,0.0,250000.0,0
2024-02-01,JKHY-NSC,0.0,250000.0,0
2024-02-01,GOOGL-VRSK,0.0,250000.0,0
2024-02-02,FIS-MTB,5398.752052307129,250000.0,0
2024-02-02,JKHY-NSC,2113.7701263427734,250000.0,0
2024-02-02,GOOGL-VRSK,-588.0708618164062,250000.0,0
2024-02-05,FIS-MTB,6489.5485916137695,250000.0,0
2024-02-05,JKHY-NSC,116.24606323242188,250000.0,0
2024-02-05,GOOGL-VRSK,1234.2208557128906,250000.0,0
2024-02-05,APD-ON,0.0,250000.0,0
2024-02-05,APD-HAS,0.0,250000.0,0
2024-02-06,FIS-MTB,5461.5800704956055,250000.0,0
2024-02-06,JKHY-NSC,-1924.999526977539,250000.0,0
2024-02-06,GOOGL-VRSK,-458.8896789550781,250000.0,0
2024-02-06,APD-ON,4149.688430786133,250000.0,0
2024-02-06,APD-HAS,-455.4650573730469,250000.0,0
2024-02-07,FIS-MTB,1868.1672897338867,250000.0,0
2024-02-07,JKHY-NSC,9334.091384887695,250000.0,0
2024-02-07,GOOGL-VRSK,-1984.9578552246094,250000.0,0
2024-02-07,APD-ON,-3053.777847290039,250000.0,0
2024-02-07,APD-HAS,-8551.415985107422,250000.0,0
2024-02-08,FIS-MTB,4866.904327392578,250000.0,0
2024-02-08,GOOGL-VRSK,-387.689208984375,250000.0,0
2024-02-08,APD-ON,-6413.220520019531,250000.0,0
2024-02-08,APD-HAS,-4479.589996337891,250000.0,0
2024-02-08,EQIX-SNA,0.0,250000.0,0
2024-02-09,FIS-MTB,6976.279373168945,250000.0,0
2024-02-09,GOOGL-VRSK,-267.5001525878906,250000.0,0
2024-02-09,APD-ON,-6838.047592163086,250000.0,0
2024-02-09,EQIX-SNA,-3495.369354248047,250000.0,0
2024-02-12,FIS-MTB,11440.913162231445,250000.0,0
2024-02-12,GOOGL-VRSK,2551.6717529296875,250000.0,0
2024-02-12,EQIX-SNA,3024.899627685547,250000.0,0
2024-02-12,CME-FANG,0.0,250000.0,0
2024-02-13,FIS-MTB,7683.323417663574,250000.0,0
2024-02-13,EQIX-SNA,2305.7884521484375,250000.0,0
2024-02-13,CME-FANG,968.8754730224609,250000.0,0
2024-02-13,EQIX-MCO,0.0,250000.0,0
2024-02-14,FIS-MTB,9223.387725830078,250000.0,0
2024-02-14,EQIX-SNA,3257.615966796875,250000.0,0
2024-02-14,CME-FANG,-404.3587341308594,250000.0,0
2024-02-14,EQIX-MCO,-1921.7933349609375,250000.0,0
2024-02-15,FIS-MTB,8579.966636657715,250000.0,0
2024-02-15,EQIX-SNA,-2418.6728515625,250000.0,0
2024-02-16,FIS-MTB,9718.664733886719,250000.0,0
2024-02-16,EQIX-SNA,897.8575134277344,250000.0,0
2024-02-16,KMI-LH,0.0,250000.0,0
2024-02-20,FIS-MTB,10364.893524169922,250000.0,0
2024-02-20,EQIX-SNA,2983.686309814453,250000.0,0
2024-02-20,KMI-LH,-216.75398921966553,250000.0,0
2024-02-21,FIS-MTB,8170.162269592285,250000.0,0
2024-02-21,EQIX-SNA,409.6370849609375,250000.0,0
2024-02-21,KMI-LH,-4103.282879829407,250000.0,0
2024-02-21,ATO-HPQ,0.0,250000.0,0
2024-02-21,GOOGL-VRSK,0.0,250000.0,0
2024-02-22,FIS-MTB,7495.098327636719,250000.0,0
2024-02-22,EQIX-SNA,-1875.4302368164062,250000.0,0
2024-02-22,KMI-LH,-1402.2069215774536,250000.0,0
2024-02-22,GOOGL-VRSK,1433.3146362304688,250000.0,0
2024-02-23,FIS-MTB,7084.009544372559,250000.0,0
2024-02-23,KMI-LH,380.93918800354004,250000.0,0
2024-02-26,KMI-LH,-890.8077526092529,250000.0,0
2024-02-27,KMI-LH,-1357.7796363830566,250000.0,0
2024-02-28,KMI-LH,-2026.6999378204346,250000.0,0
2024-02-29,KMI-LH,-5163.438497543335,250000.0,0
2024-03-01,KMI-LH,-3915.32919216156,250000.0,0
2024-03-01,FAST-PTC,0.0,250000.0,0
2024-03-05,KMI-LH,0.0,250000.0,0
2024-03-06,KMI-LH,499.8418502807617,250000.0,0
2024-03-07,KMI-LH,443.45676040649414,250000.0,0
2024-03-07,CME-FANG,0.0,250000.0,0
2024-03-07,CHTR-HAL,0.0,250000.0,0
2024-03-08,KMI-LH,12.30569076538086,250000.0,0
2024-03-08,CME-FANG,-1707.072982788086,250000.0,0
2024-03-11,KMI-LH,-767.503589630127,250000.0,0
2024-03-11,CME-FANG,3878.6595764160156,250000.0,0
2024-03-12,KMI-LH,-2275.6803016662598,250000.0,0
2024-03-12,CME-FANG,5723.339935302734,250000.0,0
2024-03-13,KMI-LH,-2855.054843902588,250000.0,0
2024-03-13,CME-FANG,4642.338653564453,250000.0,0
2024-03-14,CME-FANG,2085.2274017333984,250000.0,0
2024-03-14,CNP-YUM,0.0,250000.0,0
2024-03-14,CTAS-MU,0.0,250000.0,0
2024-03-15,CTAS-MU,6080.54084777832,250000.0,0
2024-03-21,CTAS-MU,0.0,250000.0,0
2024-03-22,CTAS-MU,-2181.296615600586,250000.0,0
2024-03-25,CTAS-MU,-19761.954132080078,250000.0,0
