trade_id,pair,entry_date,exit_date,holding_days,exit_reason,hr_entry,anchor_hr,entry_drift,trade_return,trade_pnl,is_win,entry_notional,entry_score,entry_phi,entry_z,mae,mfe,fold_id
1,CL-MDLZ,2020-03-12,2020-03-17,5,stop_loss,0.8350344840803345,0.7570393544970437,0.10302651918949264,-0.05486064993540446,-9874.916988372803,False,180000.0,2.210890404081694,0.5872529916247494,-2.3769016058194445,-4.957330738275421,-2.183538361236871,1
2,TMO-UNH,2020-03-18,2020-03-25,7,signal,1.1124379635395552,1.2160115801997713,0.08517486045914188,0.19491132140633513,34737.58589172363,True,178222.51494209288,2.135337273115731,0.5444134238359496,-2.2425862820061204,-2.2425862820061204,-0.020778884089632806,1
3,GILD-PFE,2020-04-17,2020-04-21,4,signal,-0.8981157959930813,-0.9489975735127119,0.05361634101053785,0.09332176086086054,17215.558002471924,True,184475.28040260315,1.9343058544043477,0.6843915081005535,2.276053496214544,2.276053496214544,0.3843102588621641,1
4,ORCL-TXN,2020-05-15,2020-05-18,3,signal,1.1368721984020664,1.4275850983252099,0.20363962909405336,0.05214712672319097,9781.449363708496,True,187574.08084304808,0.88852789881143,0.9058730097122367,-2.278332179080918,-2.278332179080918,1.0585794406702382,1
5,CL-MDLZ,2020-05-20,2020-05-29,9,timeout,1.2370903939524738,0.7570393544970437,0.6341163594782504,0.014987296748931041,2837.6159591674805,True,189334.74172851563,1.613595767016507,0.7765585552625729,-2.248613507531154,-2.709367175641896,-1.0659432567306175,1
6,TMO-UNH,2020-05-26,2020-05-29,3,timeout,1.1839262552967433,1.2160115801997713,0.026385706703349693,0.025303363269376454,4803.773986816406,True,189847.25214889526,2.0482486891080343,0.5977285814028981,2.217437442633028,2.843441743478714,1.0158175151575697,1
1,TMO-UNH,2020-07-06,2020-07-09,3,stop_loss,1.0564331909389946,1.144573419265047,0.07700705506742325,-0.053312071397569445,-9596.1728515625,False,180000.0,1.971622146241273,0.663287381496023,-2.26202898702179,-5.820205579151169,-2.26202898702179,2
2,COST-PG,2020-07-07,2020-07-09,2,stop_loss,1.169590024715073,0.7780907959012815,0.5031536562006346,-0.03230197962041936,-5798.912940979004,False,179521.9057507324,1.9229282427392205,0.7054974361363142,-2.3301842073097885,-6.1157715083577155,-1.7192168948697786,2
3,CVX-MPC,2020-07-09,2020-07-14,5,signal,1.727285075626551,2.267556402655978,0.238261472304111,0.031644984387784646,5608.405284881592,True,177228.88455734254,1.4511577182539959,0.8317170325399768,2.4105422968999988,4.275804729717678,0.5133692617840134,2
4,EOG-MPC,2020-07-09,2020-07-24,15,max_exit_on_loss,1.3290842115277313,1.576633774507807,0.1570114550269327,-0.00783219908520105,-1388.0919075012207,False,177228.88455734254,1.8243586249904187,0.7792645022686417,2.559995922426434,4.375551636522049,1.2435038220184034,2
