fold,start,end,sharpe,trades
0,2018-01-01,2018-03-31,0.015435699665913747,9
1,2018-04-01,2018-06-30,-0.055100286282488746,9
2,2018-07-01,2018-09-30,0.06654760853274976,7
3,2018-10-01,2018-12-31,0.23369492158119054,8
4,2019-01-01,2019-03-31,-0.20165745116155376,6
5,2019-04-01,2019-06-30,-0.27166849192123876,10
6,2019-07-01,2019-09-30,-0.006099093967318136,9
7,2019-10-01,2019-12-31,-0.157334565905333,7
