fold,start,end,sharpe,trades,pairs
0,2015-01-01,2015-03-31,-0.11766333235769982,27,20
1,2015-02-01,2015-04-30,-0.2065031307394738,25,20
2,2015-03-01,2015-05-31,0.21896326800520466,22,20
3,2015-04-01,2015-06-30,0.13577780378223506,25,20
4,2015-05-01,2015-07-31,-0.046823484548974115,27,20
5,2015-06-01,2015-08-31,-0.07984657468501864,26,20
6,2015-07-01,2015-09-30,0.0832485949313898,23,20
7,2015-08-01,2015-10-31,0.012637627068805538,29,20
8,2015-09-01,2015-11-30,0.09024122982102287,38,20
9,2015-10-01,2015-12-31,0.13503811196158513,33,20
10,2015-11-01,2016-01-31,0.15569143872527294,22,20
11,2015-12-01,2016-02-29,0.05775885810017962,39,20
12,2016-01-01,2016-03-31,0.0658325831057429,23,20
13,2016-02-01,2016-04-30,0.11605445781640436,20,20
14,2016-03-01,2016-05-31,0.2547962740378862,21,20
15,2016-04-01,2016-06-30,-0.032970894818213047,36,20
16,2016-05-01,2016-07-31,-0.25918080231509755,30,20
17,2016-06-01,2016-08-31,-0.19358747976869492,27,20
18,2016-07-01,2016-09-30,-0.22386875023685446,31,20
19,2016-08-01,2016-10-31,0.074421463119513,32,20
20,2016-09-01,2016-11-30,-0.05003004016518701,31,20
21,2016-10-01,2016-12-31,0.0018036937393588585,27,20
22,2016-11-01,2017-01-31,0.0031658572735906833,31,20
23,2016-12-01,2017-02-28,0.0,0,20
24,2017-01-01,2017-03-31,0.053598148003550956,19,20
25,2017-02-01,2017-04-30,0.2119728524528732,25,20
26,2017-03-01,2017-05-31,-0.12668705974701494,21,20
27,2017-04-01,2017-06-30,-0.0752358121633624,13,20
28,2017-05-01,2017-07-31,-0.04344861128842104,28,20
29,2017-06-01,2017-08-31,0.11223251075633771,29,20
30,2017-07-01,2017-09-30,-0.11328481794999204,10,20
31,2017-08-01,2017-10-31,0.21161428180101285,12,20
32,2017-09-01,2017-11-30,0.0236898611893107,30,20
33,2017-10-01,2017-12-31,-0.06448819358821217,13,20
34,2017-11-01,2018-01-31,0.13008774118921487,28,20
35,2017-12-01,2018-02-28,0.03181722381160719,30,20
36,2018-01-01,2018-03-31,-0.008336404882793295,31,20
37,2018-02-01,2018-04-30,0.0,0,20
38,2018-03-01,2018-05-31,0.31285849873620303,32,20
39,2018-04-01,2018-06-30,0.14203842618944326,26,20
40,2018-05-01,2018-07-31,0.14651294904889461,20,20
41,2018-06-01,2018-08-31,0.1582204011655826,15,20
42,2018-07-01,2018-09-30,0.1815736962711464,26,20
43,2018-08-01,2018-10-31,0.015083046352715353,17,20
44,2018-09-01,2018-11-30,0.08587654875805713,3,20
45,2018-10-01,2018-12-31,-0.020072410050624816,29,20
46,2018-11-01,2019-01-31,0.23904646867632423,18,20
47,2018-12-01,2019-02-28,0.02504546784842603,22,20
48,2019-01-01,2019-03-31,-0.029442145523327353,26,20
49,2019-02-01,2019-04-30,0.15232363740222632,29,20
50,2019-03-01,2019-05-31,-0.04572999603721779,28,20
51,2019-04-01,2019-06-30,-0.1373288912467421,30,20
52,2019-05-01,2019-07-31,-0.20886807145868194,26,20
53,2019-06-01,2019-08-31,0.2514433365981133,35,20
54,2019-07-01,2019-09-30,0.08340734522069447,21,20
55,2019-08-01,2019-10-31,0.09213384305902116,25,20
56,2019-09-01,2019-11-30,0.15800516400119577,22,20
57,2019-10-01,2019-12-31,0.17292411905899766,18,20
