date,pair,mark_pnl,target_notional,fold_id
2024-04-02,MO-PEP,0.0,250000.0,0
2024-04-03,MO-PEP,-1366.449951171875,250000.0,0
2024-04-04,MO-PEP,-536.8417053222656,250000.0,0
2024-04-05,MO-PEP,-1457.895191192627,250000.0,0
2024-04-08,MO-PEP,-1275.3649940490723,250000.0,0
2024-04-09,MO-PEP,3.9887542724609375,250000.0,0
2024-04-10,MO-PEP,-1779.2589378356934,250000.0,0
2024-04-11,MO-PEP,-2269.1774406433105,250000.0,0
2024-04-12,MO-PEP,-2085.6346473693848,250000.0,0
2024-04-12,JPM-MA,0.0,250000.0,0
2024-04-12,JPM-V,0.0,250000.0,0
2024-04-15,JPM-MA,3097.4500579833984,250000.0,0
2024-04-15,JPM-V,4300.118423461914,250000.0,0
2024-04-16,JPM-MA,1052.7457885742188,250000.0,0
2024-04-16,JPM-V,2962.115753173828,250000.0,0
2024-04-17,JPM-MA,171.40087890625,250000.0,0
2024-04-17,JPM-V,1309.1946716308594,250000.0,0
2024-04-18,JPM-MA,4237.64485168457,250000.0,0
2024-04-18,JPM-V,3218.427963256836,250000.0,0
2024-04-18,MO-PEP,0.0,250000.0,0
2024-04-19,MO-PEP,-1454.2020378112793,250000.0,0
2024-04-22,MO-PEP,-4077.9167251586914,250000.0,0
2024-05-20,JPM-MA,0.0,250000.0,0
2024-05-21,JPM-MA,2124.3829650878906,250000.0,0
2024-05-28,MO-PEP,0.0,250000.0,0
2024-05-29,MO-PEP,-2287.340835571289,250000.0,0
2024-05-30,MO-PEP,-4067.050895690918,250000.0,0
2024-05-31,MO-PEP,-2853.500701904297,250000.0,0
2024-04-02,EOG-SLB,0.0,250000.0,1
2024-04-03,EOG-SLB,-1831.154582977295,250000.0,1
2024-04-04,EOG-SLB,-4959.477699279785,250000.0,1
2024-04-05,EOG-SLB,-4776.565635681152,250000.0,1
2024-06-03,EOG-XOM,0.0,250000.0,3
2024-06-04,EOG-XOM,4190.137306213379,250000.0,3
2024-06-05,EOG-XOM,4173.398910522461,250000.0,3
2024-06-06,EOG-XOM,4021.9285202026367,250000.0,3
2024-06-12,ORCL-TXN,0.0,250000.0,3
2024-06-13,ORCL-TXN,-2758.498291015625,250000.0,3
2024-06-14,ORCL-TXN,-3693.7462158203125,250000.0,3
2024-06-17,ORCL-TXN,-6235.5379638671875,250000.0,3
2024-06-18,ORCL-TXN,-8516.822998046875,250000.0,3
2024-06-20,ORCL-TXN,-10834.43798828125,250000.0,3
2024-06-21,ORCL-TXN,-5671.108154296875,250000.0,3
2024-06-24,ORCL-TXN,-5783.12353515625,250000.0,3
2024-06-25,ORCL-TXN,-4219.818603515625,250000.0,3
2024-06-26,ORCL-TXN,-4818.075439453125,250000.0,3
2024-07-08,EOG-XOM,0.0,250000.0,3
2024-07-09,EOG-XOM,-2823.48445892334,250000.0,3
2024-07-10,EOG-XOM,-1468.1915664672852,250000.0,3
2024-07-11,EOG-XOM,-1441.83837890625,250000.0,3
2024-07-12,EOG-XOM,-2572.2085571289062,250000.0,3
2024-07-15,EOG-XOM,-3822.686996459961,250000.0,3
2024-07-16,EOG-XOM,-270.98793029785156,250000.0,3
2024-07-17,EOG-XOM,609.6141052246094,250000.0,3
2024-08-21,EOG-XOM,0.0,250000.0,3
2024-08-22,EOG-XOM,1673.1397705078125,250000.0,3
2024-07-18,AXP-JPM,0.0,250000.0,4
2024-09-10,AXP-JPM,0.0,250000.0,4
2024-10-23,T-TMUS,0.0,250000.0,5
2024-10-23,T-TMUS,0.0,250000.0,6
2024-10-18,META-NFLX,0.0,250000.0,7
2024-10-21,META-NFLX,-2995.6236572265625,250000.0,7
2024-10-22,META-NFLX,1235.0166625976562,250000.0,7
2024-10-23,META-NFLX,1663.939208984375,250000.0,7
2024-10-23,T-TMUS,0.0,250000.0,7
2024-10-24,META-NFLX,939.1634521484375,250000.0,7
2024-10-25,META-NFLX,2229.1273803710938,250000.0,7
2024-10-28,META-NFLX,5244.408386230469,250000.0,7
2024-10-29,META-NFLX,5550.951416015625,250000.0,7
2024-10-30,META-NFLX,7055.44384765625,250000.0,7
2024-10-31,META-NFLX,406.2049560546875,250000.0,7
2024-11-01,META-NFLX,280.9759521484375,250000.0,7
2024-12-20,META-NFLX,0.0,250000.0,7
2024-11-06,PFE-UNH,0.0,250000.0,8
2024-11-07,PFE-UNH,-2748.805549621582,250000.0,8
2024-11-08,PFE-UNH,-10054.999835968018,250000.0,8
2024-12-20,META-NFLX,0.0,250000.0,8
2025-01-06,META-NFLX,0.0,250000.0,8
2025-01-06,T-TMUS,0.0,250000.0,8
2025-01-07,META-NFLX,6257.260581970215,250000.0,8
2025-01-08,META-NFLX,9143.385238647461,250000.0,8
2025-01-08,PFE-UNH,0.0,250000.0,8
2025-01-10,META-NFLX,-4354.527740478516,250000.0,8
2025-01-10,PFE-UNH,1466.983600616455,250000.0,8
2025-01-13,META-NFLX,661.070442199707,250000.0,8
2025-01-14,META-NFLX,5290.380752563477,250000.0,8
2025-01-27,T-TMUS,0.0,250000.0,8
2025-01-28,T-TMUS,-4138.4632205963135,250000.0,8
2025-02-21,MCD-SBUX,0.0,250000.0,9
2025-02-24,MCD-SBUX,1845.1744842529297,250000.0,9
2025-02-25,MCD-SBUX,3406.4069747924805,250000.0,9
2025-02-26,MCD-SBUX,3064.8947525024414,250000.0,9
2025-01-02,EOG-XOM,0.0,250000.0,10
2025-01-03,EOG-XOM,-1509.7656326293945,250000.0,10
2025-01-03,JPM-MS,0.0,250000.0,10
2025-01-06,EOG-XOM,-1519.2181930541992,250000.0,10
2025-01-06,T-TMUS,0.0,250000.0,10
2025-01-07,EOG-XOM,-922.3411254882812,250000.0,10
2025-01-15,COP-MPC,0.0,250000.0,10
2025-01-16,COP-MPC,734.0178680419922,250000.0,10
2025-01-17,COP-MPC,-315.15685272216797,250000.0,10
2025-01-21,COP-MPC,-1120.1924743652344,250000.0,10
2025-01-22,COP-MPC,1131.4801025390625,250000.0,10
2025-01-27,T-TMUS,0.0,250000.0,10
2025-01-28,T-TMUS,-4138.4632205963135,250000.0,10
2025-02-04,COP-MPC,0.0,250000.0,10
2025-02-05,COP-MPC,-1567.1243133544922,250000.0,10
2025-02-06,COP-MPC,6323.094177246094,250000.0,10
2025-02-07,COP-MPC,5234.212509155273,250000.0,10
2025-02-10,COP-MPC,2220.208465576172,250000.0,10
2025-02-11,COP-MPC,5404.850372314453,250000.0,10
2025-02-20,COST-MO,0.0,250000.0,10
2025-02-21,COST-MO,-3293.1756591796875,250000.0,10
2025-02-21,MCD-SBUX,0.0,250000.0,10
2025-02-24,COST-MO,-4158.5579833984375,250000.0,10
2025-02-24,MCD-SBUX,1845.1744842529297,250000.0,10
2025-02-25,COST-MO,-5679.69677734375,250000.0,10
2025-02-25,MCD-SBUX,3406.4069747924805,250000.0,10
2025-02-26,COST-MO,-2667.3972778320312,250000.0,10
2025-02-26,MCD-SBUX,3064.8947525024414,250000.0,10
2025-02-27,COST-MO,-4712.344787597656,250000.0,10
2025-02-28,COST-MO,-5667.6485595703125,250000.0,10
2025-03-04,MCD-SBUX,0.0,250000.0,10
2025-03-04,JPM-MS,0.0,250000.0,10
2025-03-05,MCD-SBUX,-2988.914710998535,250000.0,10
2025-03-05,JPM-MS,3196.6563568115234,250000.0,10
2025-03-06,JPM-MS,-2007.2256164550781,250000.0,10
2025-03-07,JPM-MS,1065.7706298828125,250000.0,10
2025-03-07,COST-MO,0.0,250000.0,10
2025-03-10,COST-MO,-7681.3411865234375,250000.0,10
2025-03-11,COST-MO,-4374.1287841796875,250000.0,10
2025-03-12,COST-MO,-3187.3688354492188,250000.0,10
2025-02-20,COST-MO,0.0,250000.0,11
2025-02-21,COST-MO,-3293.1756591796875,250000.0,11
2025-02-24,COST-MO,-4158.5579833984375,250000.0,11
2025-02-25,COST-MO,-5679.69677734375,250000.0,11
2025-02-26,COST-MO,-2667.3972778320312,250000.0,11
2025-02-27,COST-MO,-4712.344787597656,250000.0,11
2025-02-28,COST-MO,-5667.6485595703125,250000.0,11
2025-03-04,META-NFLX,0.0,250000.0,11
2025-03-04,JPM-MS,0.0,250000.0,11
2025-03-05,META-NFLX,1776.6316833496094,250000.0,11
2025-03-05,JPM-MS,3196.6563568115234,250000.0,11
2025-03-06,JPM-MS,-2007.2256164550781,250000.0,11
2025-03-07,JPM-MS,1065.7706298828125,250000.0,11
2025-03-07,COST-MO,0.0,250000.0,11
2025-03-10,COST-MO,-7681.3411865234375,250000.0,11
2025-03-11,COST-MO,-4374.1287841796875,250000.0,11
2025-03-12,COST-MO,-3187.3688354492188,250000.0,11
2025-03-24,PSX-SLB,0.0,250000.0,11
2025-03-25,PSX-SLB,-4856.929416656494,250000.0,11
2025-03-26,PSX-SLB,-4175.725467681885,250000.0,11
2025-03-27,PSX-SLB,-4861.916580200195,250000.0,11
2025-04-07,PSX-SLB,0.0,250000.0,11
2025-04-07,T-TMUS,0.0,250000.0,11
2025-04-08,PSX-SLB,-2502.2084312438965,250000.0,11
2025-04-15,META-NFLX,0.0,250000.0,11
2025-04-16,META-NFLX,-860.5657043457031,250000.0,11
2025-04-17,META-NFLX,-3978.174530029297,250000.0,11
2025-04-21,META-NFLX,-11824.731414794922,250000.0,11
2025-04-25,T-TMUS,0.0,250000.0,11
2025-04-28,T-TMUS,414.03871154785156,250000.0,11
2025-04-29,T-TMUS,5242.993011474609,250000.0,11
2025-04-30,T-TMUS,7547.887130737305,250000.0,11
2025-03-07,COST-MO,0.0,250000.0,12
2025-03-10,COST-MO,-7681.3411865234375,250000.0,12
2025-03-11,COST-MO,-4374.1287841796875,250000.0,12
2025-03-12,COST-MO,-3187.3688354492188,250000.0,12
2025-03-13,COST-MO,-9425.16552734375,250000.0,12
2025-03-24,PSX-SLB,0.0,250000.0,12
2025-03-25,PSX-SLB,-4856.929416656494,250000.0,12
2025-03-26,PSX-SLB,-4175.725467681885,250000.0,12
2025-03-27,PSX-SLB,-4861.916580200195,250000.0,12
2025-04-07,PSX-SLB,0.0,250000.0,12
2025-04-07,T-TMUS,0.0,250000.0,12
2025-04-08,PSX-SLB,-2502.2084312438965,250000.0,12
2025-04-25,T-TMUS,0.0,250000.0,12
2025-04-28,T-TMUS,414.03871154785156,250000.0,12
2025-04-29,T-TMUS,5242.993011474609,250000.0,12
2025-04-30,T-TMUS,7547.887130737305,250000.0,12
2025-05-01,T-TMUS,8118.841537475586,250000.0,12
2025-05-02,T-TMUS,10395.49824142456,250000.0,12
2025-05-05,T-TMUS,10635.031005859375,250000.0,12
2025-05-06,T-TMUS,10934.897327423096,250000.0,12
2025-05-07,T-TMUS,8725.771656036377,250000.0,12
2025-05-08,T-TMUS,10110.424476623535,250000.0,12
2025-05-09,T-TMUS,2970.449779510498,250000.0,12
2025-05-12,T-TMUS,6379.929847717285,250000.0,12
2025-05-13,T-TMUS,8009.052627563477,250000.0,12
2025-05-13,PSX-SLB,0.0,250000.0,12
2025-05-14,T-TMUS,5894.791404724121,250000.0,12
2025-05-14,PSX-SLB,806.0371742248535,250000.0,12
2025-05-15,T-TMUS,3449.3699989318848,250000.0,12
2025-05-15,PSX-SLB,-1322.088047027588,250000.0,12
2025-05-16,T-TMUS,2770.6314849853516,250000.0,12
2025-05-16,PSX-SLB,-2629.299793243408,250000.0,12
2025-05-19,T-TMUS,1890.9176139831543,250000.0,12
2025-05-19,PSX-SLB,-3112.049285888672,250000.0,12
2025-05-20,T-TMUS,696.8882026672363,250000.0,12
2025-05-20,PSX-SLB,-4624.629276275635,250000.0,12
2025-05-21,T-TMUS,2886.43106842041,250000.0,12
2025-05-21,PSX-SLB,6387.764621734619,250000.0,12
2025-05-22,T-TMUS,5019.984477996826,250000.0,12
2025-05-22,PSX-SLB,3470.3473167419434,250000.0,12
2025-05-23,T-TMUS,5593.124969482422,250000.0,12
2025-05-23,PSX-SLB,2586.5154418945312,250000.0,12
2025-05-27,T-TMUS,6367.0101890563965,250000.0,12
2025-05-27,PSX-SLB,2369.0219116210938,250000.0,12
2025-05-28,T-TMUS,3432.8283767700195,250000.0,12
2025-05-28,PSX-SLB,2658.7004013061523,250000.0,12
2025-05-29,T-TMUS,2095.201301574707,250000.0,12
2025-05-29,PSX-SLB,29.765941619873047,250000.0,12
2025-05-30,T-TMUS,2546.7142295837402,250000.0,12
2025-04-03,BA-CAT,0.0,250000.0,13
2025-04-03,GE-RTX,0.0,250000.0,13
2025-04-04,BA-CAT,-20971.37481689453,250000.0,13
2025-04-07,PSX-SLB,0.0,250000.0,13
2025-04-07,T-TMUS,0.0,250000.0,13
2025-04-08,PSX-SLB,-2502.2084312438965,250000.0,13
2025-04-22,GE-RTX,0.0,250000.0,13
2025-04-23,GE-RTX,11182.069801330566,250000.0,13
2025-04-24,GE-RTX,12271.597221374512,250000.0,13
2025-04-25,GE-RTX,18694.876541137695,250000.0,13
2025-04-25,T-TMUS,0.0,250000.0,13
2025-04-28,GE-RTX,16062.807861328125,250000.0,13
2025-04-28,T-TMUS,414.03871154785156,250000.0,13
2025-04-29,GE-RTX,18359.404556274414,250000.0,13
2025-04-29,T-TMUS,5242.993011474609,250000.0,13
2025-04-30,GE-RTX,18506.719123840332,250000.0,13
2025-04-30,T-TMUS,7547.887130737305,250000.0,13
2025-05-01,GE-RTX,19863.024131774902,250000.0,13
2025-05-01,T-TMUS,8118.841537475586,250000.0,13
2025-05-02,T-TMUS,10395.49824142456,250000.0,13
2025-05-05,T-TMUS,10635.031005859375,250000.0,13
2025-05-06,T-TMUS,10934.897327423096,250000.0,13
2025-05-07,T-TMUS,8725.771656036377,250000.0,13
2025-05-08,T-TMUS,10110.424476623535,250000.0,13
2025-05-09,T-TMUS,2970.449779510498,250000.0,13
2025-05-12,T-TMUS,6379.929847717285,250000.0,13
2025-05-13,T-TMUS,8009.052627563477,250000.0,13
2025-05-13,PSX-SLB,0.0,250000.0,13
2025-05-14,T-TMUS,5894.791404724121,250000.0,13
2025-05-14,PSX-SLB,806.0371742248535,250000.0,13
2025-05-15,T-TMUS,3449.3699989318848,250000.0,13
2025-05-15,PSX-SLB,-1322.088047027588,250000.0,13
2025-05-16,T-TMUS,2770.6314849853516,250000.0,13
2025-05-16,PSX-SLB,-2629.299793243408,250000.0,13
2025-05-19,T-TMUS,1890.9176139831543,250000.0,13
2025-05-19,PSX-SLB,-3112.049285888672,250000.0,13
2025-05-20,T-TMUS,696.8882026672363,250000.0,13
2025-05-20,PSX-SLB,-4624.629276275635,250000.0,13
2025-05-21,T-TMUS,2886.43106842041,250000.0,13
2025-05-21,PSX-SLB,6387.764621734619,250000.0,13
2025-05-22,T-TMUS,5019.984477996826,250000.0,13
2025-05-22,PSX-SLB,3470.3473167419434,250000.0,13
2025-05-23,T-TMUS,5593.124969482422,250000.0,13
2025-05-23,PSX-SLB,2586.5154418945312,250000.0,13
2025-05-27,T-TMUS,6367.0101890563965,250000.0,13
2025-05-27,PSX-SLB,2369.0219116210938,250000.0,13
2025-05-28,T-TMUS,3432.8283767700195,250000.0,13
2025-05-28,PSX-SLB,2658.7004013061523,250000.0,13
2025-05-29,T-TMUS,2095.201301574707,250000.0,13
2025-05-29,PSX-SLB,29.765941619873047,250000.0,13
2025-05-30,T-TMUS,2546.7142295837402,250000.0,13
2025-06-02,T-TMUS,2352.434860229492,250000.0,13
2025-06-03,T-TMUS,2977.2657623291016,250000.0,13
2025-06-04,T-TMUS,6081.467502593994,250000.0,13
2025-06-05,T-TMUS,5800.395671844482,250000.0,13
2025-06-05,GS-JPM,0.0,250000.0,13
2025-06-06,T-TMUS,4075.887092590332,250000.0,13
2025-06-06,GS-JPM,1261.7955474853516,250000.0,13
2025-06-13,GE-RTX,0.0,250000.0,13
2025-06-16,GE-RTX,-1342.3665466308594,250000.0,13
2025-06-17,GE-RTX,-5087.016906738281,250000.0,13
2025-06-18,GE-RTX,-559.240234375,250000.0,13
2025-06-20,GE-RTX,-653.0778045654297,250000.0,13
2025-06-23,GE-RTX,3747.7701568603516,250000.0,13
2025-06-23,PSX-SLB,0.0,250000.0,13
2025-06-24,PSX-SLB,673.5970916748047,250000.0,13
2025-06-25,PSX-SLB,-1955.4768333435059,250000.0,13
2025-06-26,PSX-SLB,2043.7732887268066,250000.0,13
2025-06-27,PSX-SLB,4771.324298858643,250000.0,13
2025-06-27,GS-JPM,0.0,250000.0,13
2025-06-30,PSX-SLB,3139.2719535827637,250000.0,13
2025-06-30,GS-JPM,-2075.045654296875,250000.0,13
2025-05-02,AAPL-ORCL,0.0,250000.0,14
2025-05-02,AAPL-NVDA,0.0,250000.0,14
2025-05-05,AAPL-ORCL,-5637.334289550781,250000.0,14
2025-05-05,AAPL-NVDA,-6977.788528442383,250000.0,14
2025-05-06,AAPL-ORCL,-3472.406936645508,250000.0,14
2025-05-06,AAPL-NVDA,-6864.388107299805,250000.0,14
2025-05-07,AAPL-ORCL,-9049.834777832031,250000.0,14
2025-05-07,AAPL-NVDA,-17508.77899169922,250000.0,14
2025-05-08,AAPL-ORCL,-9051.790725708008,250000.0,14
2025-05-08,AAPL-NVDA,-16561.20445251465,250000.0,14
2025-05-09,AAPL-ORCL,-7826.090301513672,250000.0,14
2025-05-09,AAPL-NVDA,-13627.138320922852,250000.0,14
2025-05-12,AAPL-ORCL,-3662.0825958251953,250000.0,14
2025-05-12,AAPL-NVDA,-11066.821533203125,250000.0,14
2025-05-13,AAPL-ORCL,-9375.518310546875,250000.0,14
2025-05-13,PSX-SLB,0.0,250000.0,14
2025-05-14,AAPL-ORCL,-11249.726974487305,250000.0,14
2025-05-14,PSX-SLB,806.0371742248535,250000.0,14
2025-05-15,AAPL-ORCL,-6456.628021240234,250000.0,14
2025-05-15,PSX-SLB,-1322.088047027588,250000.0,14
2025-05-16,AAPL-ORCL,-8500.793807983398,250000.0,14
2025-05-16,PSX-SLB,-2629.299793243408,250000.0,14
2025-05-19,PSX-SLB,-3112.049285888672,250000.0,14
2025-05-20,PSX-SLB,-4624.629276275635,250000.0,14
2025-05-21,PSX-SLB,6387.764621734619,250000.0,14
2025-05-22,PSX-SLB,3470.3473167419434,250000.0,14
2025-05-23,PSX-SLB,2586.5154418945312,250000.0,14
2025-05-27,PSX-SLB,2369.0219116210938,250000.0,14
2025-05-28,PSX-SLB,2658.7004013061523,250000.0,14
2025-05-29,PSX-SLB,29.765941619873047,250000.0,14
2025-05-29,AAPL-NVDA,0.0,250000.0,14
2025-06-12,AAPL-ORCL,0.0,250000.0,14
2025-06-13,AAPL-ORCL,-21653.16261291504,250000.0,14
2025-06-13,GE-RTX,0.0,250000.0,14
2025-06-16,AAPL-ORCL,-14746.250991821289,250000.0,14
2025-06-16,GE-RTX,-1342.3665466308594,250000.0,14
2025-06-17,AAPL-ORCL,-13574.90316772461,250000.0,14
2025-06-17,GE-RTX,-5087.016906738281,250000.0,14
2025-06-18,AAPL-ORCL,-16099.420013427734,250000.0,14
2025-06-18,GE-RTX,-559.240234375,250000.0,14
2025-06-20,AAPL-ORCL,-5032.765869140625,250000.0,14
2025-06-20,GE-RTX,-653.0778045654297,250000.0,14
2025-06-23,AAPL-ORCL,-6924.561904907227,250000.0,14
2025-06-23,GE-RTX,3747.7701568603516,250000.0,14
2025-06-23,PSX-SLB,0.0,250000.0,14
2025-06-24,AAPL-ORCL,-18282.65802001953,250000.0,14
2025-06-24,PSX-SLB,673.5970916748047,250000.0,14
2025-06-25,AAPL-ORCL,-11471.299026489258,250000.0,14
2025-06-25,PSX-SLB,-1955.4768333435059,250000.0,14
2025-06-26,PSX-SLB,2043.7732887268066,250000.0,14
2025-06-27,PSX-SLB,4771.324298858643,250000.0,14
2025-06-30,PSX-SLB,3139.2719535827637,250000.0,14
2025-07-22,AAPL-NVDA,0.0,250000.0,14
2025-07-23,AAPL-NVDA,5785.674499511719,250000.0,14
2025-07-23,GE-RTX,0.0,250000.0,14
2025-07-24,GE-RTX,4157.285675048828,250000.0,14
2025-07-25,GE-RTX,3083.9282836914062,250000.0,14
2025-07-28,GE-RTX,3945.659210205078,250000.0,14
2025-07-29,GE-RTX,2136.4535217285156,250000.0,14
2025-07-30,GE-RTX,1520.1576843261719,250000.0,14
2025-07-31,GE-RTX,1757.0697631835938,250000.0,14
2025-06-11,COP-SLB,0.0,250000.0,15
2025-06-12,COP-SLB,-5223.456661224365,250000.0,15
2025-07-01,LLY-PFE,0.0,250000.0,15
2025-07-02,LLY-PFE,-2225.6109924316406,250000.0,15
2025-07-03,LLY-PFE,-2590.329231262207,250000.0,15
2025-07-07,LLY-PFE,-2507.4224395751953,250000.0,15
2025-07-08,LLY-PFE,-5493.755996704102,250000.0,15
2025-07-09,LLY-PFE,-3333.84854888916,250000.0,15
2025-07-10,LLY-PFE,-4901.433197021484,250000.0,15
2025-07-11,LLY-PFE,-3205.771499633789,250000.0,15
2025-07-11,COP-SLB,0.0,250000.0,15
2025-07-14,LLY-PFE,856.2913513183594,250000.0,15
2025-07-14,COP-SLB,2900.346893310547,250000.0,15
2025-07-15,LLY-PFE,3593.3580932617188,250000.0,15
2025-07-30,COP-SLB,0.0,250000.0,15
2025-07-31,COP-SLB,1036.093059539795,250000.0,15
2025-08-01,COP-SLB,2809.9522094726562,250000.0,15
2025-08-04,COP-SLB,1312.8993473052979,250000.0,15
2025-08-22,COP-SLB,0.0,250000.0,15
2025-08-25,COP-SLB,1183.6417770385742,250000.0,15
2025-08-26,COP-SLB,2318.222213745117,250000.0,15
2025-08-27,COP-SLB,-1425.7740783691406,250000.0,15
2025-08-28,COP-SLB,-4360.37141418457,250000.0,15
2025-08-29,COP-SLB,-6343.562950134277,250000.0,15
2025-07-01,LLY-PFE,0.0,250000.0,16
2025-07-02,LLY-PFE,-2225.6109924316406,250000.0,16
2025-07-03,LLY-PFE,-2590.329231262207,250000.0,16
2025-07-07,LLY-PFE,-2507.4224395751953,250000.0,16
2025-07-08,LLY-PFE,-5493.755996704102,250000.0,16
2025-07-09,LLY-PFE,-3333.84854888916,250000.0,16
2025-07-10,LLY-PFE,-4901.433197021484,250000.0,16
2025-07-11,LLY-PFE,-3205.771499633789,250000.0,16
2025-07-11,COP-SLB,0.0,250000.0,16
2025-07-14,LLY-PFE,856.2913513183594,250000.0,16
2025-07-14,COP-SLB,2900.346893310547,250000.0,16
2025-07-15,LLY-PFE,3593.3580932617188,250000.0,16
2025-07-30,COP-SLB,0.0,250000.0,16
2025-07-31,COP-SLB,1036.093059539795,250000.0,16
2025-08-01,COP-SLB,2809.9522094726562,250000.0,16
2025-08-04,COP-SLB,1312.8993473052979,250000.0,16
2025-08-22,COP-SLB,0.0,250000.0,16
2025-08-25,COP-SLB,1183.6417770385742,250000.0,16
2025-08-26,COP-SLB,2318.222213745117,250000.0,16
2025-08-27,COP-SLB,-1425.7740783691406,250000.0,16
2025-08-28,COP-SLB,-4360.37141418457,250000.0,16
2025-08-29,COP-SLB,-6343.562950134277,250000.0,16
