window,start_index,mechanism,sharpe,alpha_ann,alpha_tstat,alpha_pval,rsquared,adj_rsquared,n_obs,const_beta,const_pval,Mkt-RF_beta,Mkt-RF_pval,SMB_beta,SMB_pval,HML_beta,HML_pval,Mom_beta,Mom_pval,ST_Rev_beta,ST_Rev_pval
historical,0,A,1.1222203409030458,0.06773119776329363,1.8368300121571168,0.06623499386494779,0.020496427235427106,0.016575276023399255,1255,0.00026877459429878423,0.06623499386494779,0.041196819440973344,0.2598422118668623,-0.06627111499541792,0.19254076924050856,-0.03022291794789111,0.28711161624351533,0.017500087995894406,0.5480625364879341,0.0759791804936235,0.07688904297972952
historical,0,B,1.0962936288662382,0.0652582344287577,1.7686349006708835,0.0769548225544667,0.02064541063369607,0.016724855832389918,1255,0.00025896124773316546,0.0769548225544667,0.04009835326173362,0.27674935127866773,-0.06508356502408139,0.20324328288325577,-0.030629611141916417,0.28017531177744914,0.018689511277118594,0.5197892132435923,0.07711057123207826,0.07326671650971411
recent,0,A,0.757897246275056,-0.027121392310327563,-0.5244862937894359,0.5999403504448321,0.1658861806765719,0.15721555885408312,487,-0.00010762457266003002,0.5999403504448321,0.18770244689471685,0.012640177827896365,-0.11547769652953459,0.0749486919541208,-0.04146508967265537,0.35117425475225794,-0.04030334605949843,0.46002053050742076,0.11333191193202352,0.051197279383202246
recent,0,B,0.8214226361021085,-0.02215208477690058,-0.4330063131201442,0.6650101834373846,0.17205493912449366,0.16344844161019534,487,-8.790509832103405e-05,0.6650101834373846,0.1876373958146615,0.012216966712047217,-0.1163970338490572,0.07109984751014913,-0.04523701015794094,0.3029356301840982,-0.04102091660796226,0.4493831527936544,0.11599839211650081,0.04485090135904072
recent,1,A,1.0134882835383676,-0.005281850960783944,-0.1067068088501201,0.915021580770726,0.18249816156241594,0.17366984797237728,469,-2.095972603485692e-05,0.915021580770726,0.1621494496672563,0.021819006672406684,-0.09866858635913045,0.08814165544936829,-0.0647359779516814,0.09268838420334442,-0.025528610729881968,0.6283342600148413,0.12509635075383074,0.01549263457137259
recent,1,B,1.0422125979165924,-0.003959142572247579,-0.08012340877390876,0.9361391050888618,0.190424282390093,0.18168156405737268,469,-1.5710883223204677e-05,0.9361391050888618,0.16365271958541835,0.021118612452801614,-0.10049192242656868,0.0819317762247985,-0.06767510564178422,0.07507419251897858,-0.025392509365525423,0.6305997647377877,0.12707589750090278,0.014008291737246454
recent,2,A,1.332533127582587,0.0152216006274862,0.3014939549386225,0.7630378589528203,0.21234504902412554,0.2033535541499717,444,6.0403177093199206e-05,0.7630378589528203,0.18356497849077474,0.015256496717849073,-0.13310623937196403,0.03836876329124312,-0.025332860394881387,0.526358094609632,-0.04970436199426788,0.37350332726678814,0.13368627920207074,0.015398664833072166
recent,2,B,1.324167653104005,0.013136822620386523,0.26248476254731257,0.7929477313715767,0.2202703597961716,0.21136933650617362,444,5.213024849359731e-05,0.7929477313715767,0.18482212687297372,0.014411253939908617,-0.13219927400661383,0.038853802999130646,-0.026417408099414955,0.502534103962625,-0.04907126008035303,0.37800719305890806,0.13485971572625435,0.01414958327142061
recent,3,A,1.119291728722182,0.0009788631386355789,0.017410767271419377,0.9861089194176431,0.21591105162259028,0.20655438159422035,425,3.88437753426817e-06,0.9861089194176431,0.1782644417309952,0.018153238605339506,-0.14081793121308248,0.03889362037434729,-0.05505064298743622,0.21065356370843202,-0.020675577608548976,0.7130385623333733,0.1445510152040756,0.012232267971471172
recent,3,B,1.1774006485894541,0.004642488952391429,0.08354414595762166,0.9334188766595634,0.22425343027906885,0.21499631130865204,425,1.8422575207902496e-05,0.9334188766595634,0.17833764899601093,0.017591773685237656,-0.1417546744755827,0.03612561837940755,-0.05623182542318188,0.19551884375777007,-0.01974029716811457,0.7242114187011226,0.14789256462686323,0.010026043152650058
recent,4,A,1.2452476567277955,0.010220612438173855,0.18075739934195043,0.8565580026110693,0.20793728047862337,0.1980611867190052,407,4.055798586576927e-05,0.8565580026110693,0.18133602689748862,0.007527220568565285,-0.11998275553744171,0.044994641498232485,-0.04131471941310664,0.29008069086296995,-0.030852736477666245,0.562132100135657,0.14174843078497318,0.008775842464467967
recent,4,B,1.341111549461237,0.017168690422740843,0.3079642224813415,0.7581095564188789,0.2169980406570715,0.20723492395703502,407,6.812972389976524e-05,0.7581095564188789,0.18181076638050184,0.007795386112915347,-0.12096786679952581,0.04302222890267517,-0.04493352923465957,0.24292398606975163,-0.03088225127986841,0.5624830534662868,0.14417106931900403,0.007701312884618395
