A,B,joined_sh,joined_ret
sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide1m_bd7,0.5561103438151143,0.03237753771145076
sp500-12m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide1m_bd7,0.5557972710279833,0.03370040412910678
sp500-12m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.5540423138229718,0.03725763681871834
sp500-12m/cross_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_bd7,0.5529397449364117,0.04382096051443853
core-12m/cross_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_bd7,0.5504005970563034,0.03526503147313744
core-2m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.5465380579809798,0.041430345614371866
sp500-12m/cross_sector_slide1m_noscreen,core-12m/same_sector_slide3m_bd7,0.5365163119501479,0.030535100893530443
sp500-12m/same_sector_slide3m_bd7,sp500-2m/cross_sector_slide1m_bd7,0.5352330104798279,0.029713788508332728
core-2m/same_sector_slide1m_bd7,sp500-12m/cross_sector_slide3m_bd7,0.5319963609234211,0.029518177043628534
sp500-12m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_noscreen,0.5295467291542829,0.04296000708433749
sp500-2m/same_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.52927205203279,0.03648350897402257
core-12m/same_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.5288249526271908,0.032941099290159495
sp500-12m/cross_sector_slide1m_noscreen,core-12m/cross_sector_slide1m_bd7,0.5228680789510596,0.03070686600009549
sp500-12m/same_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_bd7,0.5219442521479837,0.03879334844828297
sp500-12m/cross_sector_slide1m_bd7,sp500-12m/cross_sector_slide3m_bd7,0.5204210722046748,0.036677898379580395
sp500-12m/cross_sector_slide1m_noscreen,core-2m/same_sector_slide3m_bd7,0.5188320774910549,0.031867883996961235
core-12m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_bd7,0.5104536687883536,0.03432222387846595
sp500-12m/cross_sector_slide1m_bd7,sp500-12m/same_sector_slide1m_bd7,0.5074779976587527,0.025852297881323504
sp500-12m/cross_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_bd7,0.5059992585235886,0.03294667312011783
sp500-12m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide1m_bd7,0.5036942070955865,0.024617631434100763
sp500-12m/same_sector_slide1m_noscreen,core-12m/same_sector_slide1m_bd7,0.5017290120229317,0.027439901557808354
sp500-12m/cross_sector_slide3m_bd7,sp500-2m/cross_sector_slide3m_noscreen,0.49332992402581777,0.043087588787589316
